"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes"
"Phototransduction",0.711674756293432,0.84174171548483,0.903185517385449,"Up",14,"Calm1;Gnb1;Cnga1;Sag;Guca1b;Pde6g;Calm2"
"Sulfur relay system",0.703292678811312,0.842973149559752,0.903185517385449,"Up",8,"Ctu2"
"Colorectal cancer",0.775597970300593,0.85427135678392,0.90923582087143,"Up",82,"Gadd45g;Gadd45b;Bax;Bbc3;Gadd45a;Fos;Hras;Ccnd1;Tgfbr2;Bcl2;Bcl2l11;Map2k2;Rac2;Ralgds;Cycs;Pik3cb;Pik3r2;Tgfb1;Tcf7l1;Axin2;Rala;Mapk3;Tgfa"
"Riboflavin metabolism",0.692770044159672,0.854681671619144,0.90923582087143,"Up",7,"Acp5"
"Valine, leucine and isoleucine degradation",-0.787844495871723,0.859294117647059,0.910912492205363,"Down",45,"Aldh1b1;Bcat1;Acsf3;Aldh2;Hibadh;Hmgcs2;Aldh6a1"
"Histidine metabolism",0.67932612505212,0.873699190607489,0.922921680219179,"Up",12,"Hdc;Cndp2"
"Gastric cancer",0.767947213892988,0.883639505274645,0.930146847657521,"Up",108,"Gadd45g;Cdkn2b;Fzd6;Gadd45b;Bax;Fgf2;Rxrg;Gadd45a;Ctnna1;Hras;Rxra;Ccnd1;Wnt10b;Tgfbr2;Fzd10;Bcl2;Map2k2;Abcb1a"
"Propanoate metabolism",0.694604998139299,0.890032414910859,0.933600435221181,"Up",28,"Mlycd;Ldha;Suclg1;Bckdhb;Sucla2;Echs1;Hibch;Acss1;Pccb;Hadha;Bckdha"
"Maturity onset diabetes of the young",-0.639973402136175,0.898623345113139,0.93932753844579,"Down",6,"Hnf4a;Bhlha15"
"Citrate cycle (TCA cycle)",0.675168269703603,0.910045380091834,0.947963937595661,"Up",29,"Pcx;Suclg1;Pdhb;Sucla2;Sdhb;Dlst;Cs;Sdhd;Pdha1;Sdhc;Csl;Mdh1;Aco2"
"Aldosterone-regulated sodium reabsorption",0.663900321761972,0.918125337655321,0.953071284763309,"Up",28,"Sgk1;Igf1;Prkcg;Pik3cb;Pik3r2;Nr3c2;Sfn;Mapk3;Atp1b2"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",-0.654729747542647,0.943010121754437,0.975527712159763,"Down",24,"Pgap1;Pign;Pigm"
"Butanoate metabolism",-0.61295164169716,0.95408435664709,0.980223654089476,"Down",17,"L2hgdh;Hmgcs2"
"RNA transport",-0.798176804733313,0.953051643192488,0.980223654089476,"Down",145,"Rnps1;Upf2;Xpot;Nup205;Nup37;Cyfip2;Nup188;Nup210l;Tgs1;Ndc1;Nup62;Sumo2;Pnn;Rpp40;Fxr1;Ube2i;Rpp14;Eif4ebp2;Nup54;Nup214;Gemin5;Pabpc4;Pom121;Tacc3;Fmr1;Xpo1;Ranbp2;Nup43;Xpo5;Ran;Eif4g1;Kpnb1;Nup107;Rpp30;Nup155;Thoc2;Gemin8;Eif1ax;Nup160;Nxt1;Nup133;Nup98;Trnt1;Eif5"
"Wnt signaling pathway",0.693611577830197,0.957566125553411,0.98044313196595,"Up",109,"Fzd6;Rora;Ccnd3;Csnk2b;Rnf43;Lgr4;Bambi;Ppp3ca;Daam1;Ccnd1;Wnt10b;Siah1a;Nkd2;Fzd10;Ryk;Sfrp2;Prickle1;Prkcg;Rac2;Rbx1"
"Basal transcription factors",0.602269600986403,0.969463676759326,0.986559876039748,"Up",39,"Taf13;Gtf2a2;Gtf2h5;Taf9b;Gtf2f2;Taf15;Taf10;Taf12;Ercc3;Gtf2h1;Gtf2b;Taf11;Taf8;Gtf2f1;Gtf2h4;Gtf2a1;Gtf2e2"
"Proximal tubule bicarbonate reclamation",0.544357159176919,0.972785393387859,0.986559876039748,"Up",16,"Slc4a4;Aqp1;Glud1;Atp1b2;Car2;Fxyd2;Slc25a10;Mdh1;Atp1a3"
"Synthesis and degradation of ketone bodies",-0.540741344826951,0.973405744359218,0.986559876039748,"Down",8,"Hmgcs2;Hmgcs1;Bdh1;Acat1;Acat2;Hmgcl;Hmgcll1;Oxct1"
"Phosphatidylinositol signaling system",0.620929555540923,0.984534386311287,0.98782714345614,"Up",84,"Inppl1;Itpk1;Mtmr7;Inpp4b;Inpp5d;Plcg2;Calm1;Pi4k2a;Prkcg;Inpp4a;Inpp5b;Pik3cb;Pik3r2;Impa1;Cdipt;Inpp5k;Plce1;Synj1;Pip5k1b;Pip4k2c;Calm2;Pip4p1;Pik3c3;Pip4k2a;Inpp1;Pip4p2;Pi4kb"
"RNA degradation",0.612870876189638,0.983523355943619,0.98782714345614,"Up",69,"Pfkp;Eno1;Pabpc1l;Lsm4;Mphosph6;Lsm6;Exosc9;Eno2;Tob1;Eno3;Eno1b"
"Terpenoid backbone biosynthesis",-0.572504672058994,0.979578858111928,0.98782714345614,"Down",21,"Pdss1;Pcyox1;Hmgcs2"
"Ribosome biogenesis in eukaryotes",0.502892146930078,0.998943247592286,0.998943247592286,"Up",70,"Csnk2b;Rexo5;Rrp7a;Pop7;Rexo2;Pop5;Sbds;Eif6;Imp3;Nhp2;Nxf2;Utp14a;Drosha;Nxf1;Csnk2a2;Riok1;Csnk2a1;Emg1;Rpp25l;Bms1;Wdr75"
