"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes"
"Renin secretion",1.32018700602772,0.105149219112417,0.195930221948603,"Up",40,"Cacna1d;Adrb1;Orai1;Ppp3ca;Ptger2;Cacna1s;Pde1c;Calm1;Mgmt;Aqp1;Ptger4;Kcnj2;Npr1;Ppp3cc"
"SNARE interactions in vesicular transport",1.32860959558845,0.10948438789363,0.202748866469685,"Up",31,"Stx1a;Bet1l;Stx8;Vamp8;Vti1b;Stx3;Vamp5;Stx11;Sec22b;Vamp4;Bnip1;Use1;Stx4a"
"Dopaminergic synapse",1.25770676848629,0.115028564766235,0.209502645392759,"Up",90,"Cacna1d;Arrb2;Ddc;Creb3;Gria2;Mapk13;Gng2;Gnb5;Fos;Creb5;Slc18a2;Ppp3ca;Atf4;Calm1;Gnao1;Gnb1;Creb3l1;Prkcg;Kif5c"
"Folate biosynthesis",1.34884592332924,0.115226454966017,0.209502645392759,"Up",17,"Tph1;Mocos;Spr"
"Vitamin B6 metabolism",-1.4144056296926,0.114668495173796,0.209502645392759,"Down",6,"Psat1;Pdxk"
"Alanine, aspartate and glutamate metabolism",1.33483487245734,0.11598685482312,0.209614797873109,"Up",23,"Rimkla;Asns;Il4i1;Got1;Aldh4a1;Asl"
"Inflammatory mediator regulation of TRP channels",1.27064325739374,0.117707807959267,0.211451152022635,"Up",70,"Il1r1;Prkce;Adcy4;Mapk13;Pla2g4f;Adcy1;Il1b;Trpv2;Igf1;Src;Prkcq;Alox12e;Ptger2;Plcg2;Hrh1;Calm1;Map2k3;Prkcg;Pik3cb;Pik3r2;Ptger4;Camk2d"
"Malaria",1.30169300411665,0.122851536952256,0.219377744557601,"Up",36,"Tnf;Tlr9;Il1b;Sdc2;Itgb2;Cd36;Il6;Tlr2;Myd88;Cd40;Sdc1;Hba-a1;Icam1;Vcam1"
"Ovarian steroidogenesis",1.30762100777822,0.129488367024465,0.229861006552304,"Up",26,"Cyp11a1;Alox5;Adcy4;Pla2g4f;Adcy1;Igf1"
"Ubiquinone and other terpenoid-quinone biosynthesis",-1.34237418551981,0.135452093350534,0.239033105912706,"Down",10,"Atat1;Vkorc1l1"
"Base excision repair",-1.251979918392,0.137256534043616,0.239678125100277,"Down",34,"Lig3;Mbd4;Pole2;Parp1;Mutyh;Pole;Pold2;Ung;Neil3;Pold1;Pcna;Hmgb1;Tdg-ps;Apex1"
"Phospholipase D signaling pathway",1.21844538650572,0.137415458390825,0.239678125100277,"Up",113,"Plpp2;Grm6;Cyth4;Fcer1a;Agpat4;Adcy4;F2r;Pla2g4f;Ms4a2;Cxcr2;Rras;Adcy1;Agpat2;Ptk2b;Pld1;Hras;F2;Plcg2;Mras;Mgmt;Kit;Map2k2;Rapgef4;Gab2;Fyn;Ralgds;Pik3cb;Lpar1;Pik3r2;Pld2;Cyth1;Dnm2;Lpar6;Cyth2;Adcy7;Rala;Adcy3;Mapk3;Fcer1g;Agpat1;Adcy9;Arf6"
"Glutamatergic synapse",1.24459946637147,0.140520356540593,0.243676918856519,"Up",68,"Cacna1d;Shank2;Grm6;Gria2;Homer2;Adcy4;Pla2g4f;Gng2;Adcy1;Gnb5;Grin2d;Pld1;Ppp3ca"
"Aminoacyl-tRNA biosynthesis",-1.25666461736784,0.148014440433213,0.255197311091747,"Down",26,"Mars2;Gatc;Pars2;Iars2;Sepsecs;Rars2;Farsb;Yars2;Ptprf;Dars2;Hars2;Nars2;Aars2"
"Hepatitis B",1.19257905595483,0.153783420397188,0.263279644684951,"Up",141,"Atp6ap1;Tnf;Creb3;Bax;Mapk13;Casp12;Ikbkb;Nfkbia;Ptk2b;Fos;Creb5;Src;Il6;Tlr2;Ywhaq;Egr3;Myd88;Hras;Atf4;Stat4;Irak4;Ywhaz;Mmp9;Tgfbr2;Ikbke;Map2k3;Bcl2;Creb3l1;Map2k2;Prkcg;Egr2;Nfkb1;Fas;Cycs;Pik3cb;Pik3r2;Jak2;Tgfb1;Casp8;Vdac3;Ywhab;Rela;Jak3;Mapk3;Nfatc2;Tlr3;Tirap;Stat5b;Tyk2;Bad;Ticam1;Map2k1;Cdkn1a;Fadd;Stat6;Stat2;Tbk1;Raf1;Ifnar1;Chuk;Hspg2;Tab2;Tlr4;Akt2;Mapk11"
"Other types of O-glycan biosynthesis",1.28678087211796,0.154457391548505,0.263279644684951,"Up",20,"St3gal3;St6gal1;Mfng;Colgalt2;Eogt;Gxylt1;Lfng;B4galt3;Plod3"
"Non-homologous end-joining",-1.29069761942931,0.15749063670412,0.266933282549356,"Down",13,"Dclre1c;Dntt;Prkdc;Mre11a;Rad50;Fen1;Lig4;Xrcc6"
"Nicotinate and nicotinamide metabolism",1.27185180364995,0.160415750109987,0.270363623780877,"Up",24,"Art2b;Nt5e;Nt5c;Cd38;Naprt;Pnp2;Nmrk1"
"Linoleic acid metabolism",1.2956379381602,0.161345149933228,0.27041086580988,"Up",10,"Alox15;Pla2g2d;Pla2g4f"
"Cellular senescence",1.18094681371554,0.1648592397853,0.274501733445203,"Up",148,"Cacna1d;Gadd45g;Cdkn2b;Cdkn2a;H2-Q10;Gadd45b;H2-Q6;H2-K1;Mapk13;Ccnd3;Rras;H2-M2;Gadd45a;Il6;H2-M3;Ppp3ca;Eif4ebp1;Hras;Capn1;H2-Q7;Ccnd1;H2-D1;Calm1;Tgfbr2;Mras;Foxo1;Capn2;Lin52;Map2k3;Rbl2;H2-Q4;Map2k2;Sqstm1;Slc25a4;Nfkb1;Pik3cb;Mcu;Ccnd2;Pik3r2;H2-T22;Traf3ip2;H2-Q2;H2-T23;Tgfb1;Ppp3cc;Vdac3;Rela;Ppp1cc;Mapkapk2;Mapk3;Nfatc2;H2-Q1;Mdm2;H2-T-ps"
"Melanoma",1.22960223092376,0.165616045845272,0.274501733445203,"Up",53,"Gadd45g;Cdkn2a;Gadd45b;Bax;Fgf2;Gadd45a;Igf1;Hras;Ccnd1;Map2k2;Cdh1;Pik3cb;Pik3r2"
"Circadian entrainment",1.21953627484234,0.171886164839226,0.283328843141582,"Up",58,"Cacna1d;Gria2;Ryr2;Adcy4;Gng2;Adcy1;Gnb5;Fos;Grin2d;Calm1;Gnao1;Gnb1;Prkcg;Gnb2;Camk2d;Gngt2;Adcy7;Adcy3;Mapk3;Adcy9;Gng5;Calm2;Gnaq;Ryr3;Camk2a;Prkaca"
