"logFC","logCPM","F","PValue","FDR","gene","rank_stat","analysis"
0.686468363839169,5.67686082669015,1.81858535748797,0.210574940610324,0.99964961525844,"SH3GL1",1.34854935300417,"reference95"
0.9302963697517,4.5126167792935,3.43337381895269,0.0964392470820027,0.99964961525844,"CHAF1A",1.85293653937546,"reference95"
-0.911745660733218,4.16187464392155,2.81564413512337,0.127915556174089,0.99964961525844,"UBXN6",-1.67798812127004,"reference95"
-0.247621829423597,5.34253447681402,0.26667147121232,0.618085275064087,0.99964961525844,"HDGFL2",-0.516402431454695,"reference95"
0.630273484811796,3.55987069394638,0.793914905095414,0.393380100502508,0.99964961525844,"TNFAIP8L1",0.891019026225262,"reference95"
-0.0829348599269665,7.04649682726537,0.0470489365723094,0.833134472654239,0.99964961525844,"MYDGF",-0.216907668311449,"reference95"
-0.265404795684386,4.84183357955299,0.34298421988502,0.57257783778772,0.99964961525844,"DPP9",-0.585648546386841,"reference95"
0.244739646779197,4.87955614971852,0.229861177872578,0.643124916228447,0.99964961525844,"FEM1A",0.479438398412745,"reference95"
-1.87439524755171,3.0979648016637,6.23162434715114,0.0334971097621488,0.99964961525844,"TICAM1",-2.4963221641349,"reference95"
0.042791282245978,6.43459409414928,0.0103755838626352,0.921108827858798,0.99964961525844,"PLIN3",0.101860609965949,"reference95"
-0.0214661303697181,5.06949272078603,0.000867528723058401,0.977148699817409,0.99964961525844,"UHRF1",-0.0294538405485329,"reference95"
0.711148440981154,4.82495248779409,1.33957699901355,0.276186702780556,0.99964961525844,"KDM4B",1.15740096725964,"reference95"
-0.0738387379177887,6.59790787767385,0.035859580039674,0.854022841358592,0.99964961525844,"SAFB2",-0.189366258978927,"reference95"
-0.204714968887796,6.62315784104234,0.291047102145325,0.602686389800594,0.99964961525844,"SAFB",-0.539487814640261,"reference95"
0.19072484660524,10.6458309472791,0.206543951767921,0.660288704206357,0.99964961525844,"RPL36",0.454471068130768,"reference95"
-0.262786711403317,6.26185741767542,0.474327886550174,0.508429603513645,0.99964961525844,"MICOS13",-0.688714662650777,"reference95"
0.0701352645165138,4.66647252155068,0.024213852751341,0.879792687734506,0.99964961525844,"LONP1",0.155608009920251,"reference95"
0.520684379267289,5.61100066233766,0.752991508819838,0.408178918760368,0.99964961525844,"DUS3L",0.867750833373174,"reference95"
0.0722547460557219,7.76647802113689,0.0398609735379414,0.846205991304021,0.99964961525844,"NDUFA11",0.199652131313296,"reference95"
-0.266823178493404,3.96017289762133,0.166024437492521,0.693235781560094,0.99964961525844,"VMAC",-0.407460964378824,"reference95"
0.389042316808989,4.90116718076309,0.784111435382234,0.399041046322528,0.99964961525844,"RANBP3",0.885500669329072,"reference95"
0.304057897953081,3.92667490605658,0.236828324739282,0.637898963265581,0.99964961525844,"MLLT1",0.486650105043944,"reference95"
0.130912001185577,7.08535707390385,0.128398674279456,0.728387683315598,0.99964961525844,"CLPP",0.358327607475974,"reference95"
0.0344288273991979,7.20914904709413,0.00823103697088974,0.929705077952435,0.99964961525844,"ALKBH7",0.0907250625289933,"reference95"
-0.122293615113939,5.95154944538787,0.099868733791457,0.759220526652058,0.99964961525844,"GTF2F1",-0.316020147761906,"reference95"
0.507401198433215,5.24808740831673,1.40265706065935,0.266768894966497,0.99964961525844,"KHSRP",1.18433823743868,"reference95"
0.00506627748944433,5.89591059080132,0.000169955881708078,0.989884052520418,0.99964961525844,"DENND1C",0.0130367128413599,"reference95"
0.347788728219347,3.33391764286887,0.258568210924247,0.621415373147441,0.99964961525844,"TNFSF14",0.508496028425244,"reference95"
0.335340212526188,5.67215260033042,0.701778300355477,0.423972080886819,0.99964961525844,"GPR108",0.837722090168021,"reference95"
0.0484112119988479,4.62158199290407,0.00812425508385258,0.930165327399079,0.99964961525844,"SH2D3A",0.0901346497405553,"reference95"
0.00750902233768013,5.801018062689,0.000279650294812665,0.987024487895578,0.99964961525844,"VAV1",0.0167227478248243,"reference95"
-0.302445297008742,3.96831949106065,0.213387877674217,0.655150826972247,0.99964961525844,"ZNF557",-0.461939257559062,"reference95"
-2.1407771552215,3.51237958992153,4.73288366132583,0.0569174246854016,0.99964961525844,"INSR",-2.17551917052593,"reference95"
-0.886561571546213,6.50610994846781,4.36551864535354,0.0663714955906677,0.99964961525844,"AC119396.1",-2.08938235977849,"reference95"
-0.847519629059755,4.9399048518772,3.68280804595042,0.087368289924778,0.99964961525844,"ARHGEF18",-1.91906436732863,"reference95"
-0.996621332943977,3.4510209398722,0.964315417995521,0.347938254841437,0.99964961525844,"ZNF358",-0.98199563033423,"reference95"
-0.310448738525207,3.24083260978792,0.212749462893448,0.654842941352722,0.99964961525844,"MCOLN1",-0.461247723998122,"reference95"
-0.138179928150982,3.71612911538488,0.0364492284494633,0.852615451374201,0.99964961525844,"PNPLA6",-0.190916810285169,"reference95"
0.524166556358489,5.46657284264897,1.13245925660014,0.315104741057306,0.99964961525844,"XAB2",1.06417068959831,"reference95"
-0.152889360111303,6.88153671691175,0.13416232153281,0.722647016878285,0.99964961525844,"PET100",-0.366281751569485,"reference95"
0.12309869721698,5.86733048893952,0.0858568861262285,0.775387937481929,0.99964961525844,"STXBP2",0.293013457244251,"reference95"
1.27647004645026,7.11007959743902,3.65201984300497,0.0848832755292419,0.99964961525844,"RETN",1.9110258614171,"reference95"
-0.908273671740704,4.7600240983627,0.410858383397206,0.535725530154368,0.99964961525844,"MCEMP1",-0.64098235810138,"reference95"
