"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa04723 Retrograde endocannabinoid signaling",0.000492196509868944,0.00780142773596045,0.213878881440171,0.45569824939552,1.78641616642577,76,"NDUFAB1;GNG5;NDUFA6;NDUFA4;GNG4;PRKCA;NDUFB7;NDUFC2;NDUFV2;NDUFA12;NDUFB9;MT-ND5;ADCY7;GNG10;GNB1;GNG2;NDUFA2;NDUFB11;NDUFA9;NDUFB2;NDUFS4;NDUFS3;PRKACA;NDUFA1;MAPK9;NDUFB4;MT-ND2;GNB2;GNAI2;NDUFS5;NDUFB3;PLCB4;NDUFA7;NDUFS6;NDUFB6;MAPK3;NDUFA11;NAPEPLD;NDUFS7","within15_symbol_sensitivity","Up",353,"hsa04723","Retrograde endocannabinoid signaling"
"hsa04724 Glutamatergic synapse",0.0344734715863183,0.124151262487346,0.04463129764308,0.426308315708848,1.48053938946979,41,"HOMER3;GNG5;GNG4;PRKCA;GNAS;ADCY7;PPP3R1;GNG10;GNB1;GNG2;LZTS3;PRKACA;SLC38A1;GNB2;GNAI2;GRK2;PLCB4","within15_symbol_sensitivity","Up",353,"hsa04724","Glutamatergic synapse"
"hsa04725 Cholinergic synapse",0.541462612982744,0.732322997635666,0.00920432134089298,0.256249217972386,0.949357506829951,56,"FOS;GNG5;GNG4;PRKCA;ADCY7;GNG10;GNB1;MAP2K1;GNG2;PRKACA;PIK3R3;GNB2;KRAS;GNAI2;CAMK2D;ATF4;CREB3L3;PLCB4;BCL2;NRAS","within15_symbol_sensitivity","Up",353,"hsa04725","Cholinergic synapse"
"hsa04726 Serotonergic synapse",0.0711549544052341,0.211073100042417,0.0308254693191704,0.410767387140109,1.3869639726321,36,"GNG5;GNG4;PRKCA;GNAS;SLC18A2;GNG10;GNB1;MAP2K1;DUSP1;GNG2;PRKACA;GNB2;KRAS;GNAI2;PLCB4;NRAS;MAPK3","within15_symbol_sensitivity","Up",353,"hsa04726","Serotonergic synapse"
"hsa04727 GABAergic synapse",0.0772172834401489,0.221607325645305,0.0297883910524724,0.433766381497512,1.39350362138295,29,"GNG5;GNG4;PRKCA;SLC12A5;ADCY7;GNG10;GNB1;GNG2;PRKACA;SLC38A1;GNB2;GNAI2","within15_symbol_sensitivity","Up",353,"hsa04727","GABAergic synapse"
"hsa04728 Dopaminergic synapse",0.244387427838358,0.464107197962921,0.0152163233382898,0.291882388634842,1.13447188822894,72,"FOS;CALM1;GNG5;GNG4;PRKCA;GNAS;CLOCK;SLC18A2;PPP1CC;GNG10;KIF5B;CALM3;GNB1;GNG2;PRKACA;MAPK9;PPP2R5A;PPP2R5C;GNB2;GNAI2;CAMK2D;ARRB1;ATF4;CREB3L3;PLCB4;PPP1CB","within15_symbol_sensitivity","Up",353,"hsa04728","Dopaminergic synapse"
"hsa04730 Long-term depression",0.985874931431706,0.994325287986835,0.00554568594018824,0.17107571457741,0.565850115332227,33,"PRKCA;GNAS;GNA12;MAP2K1;GNA13;KRAS;GNAI2;PLCB4;NRAS;MAPK3","within15_symbol_sensitivity","Up",353,"hsa04730","Long-term depression"
"hsa04740 Olfactory transduction",0.524621547842734,0.727873623933018,0.00995137354584354,0.338454897770803,0.951969811777835,17,"CALM1;NCALD;CALM3;GNB1;PRKACA;CAMK2D;ARRB1;GRK2","within15_symbol_sensitivity","Up",353,"hsa04740","Olfactory transduction"
"hsa04742 Taste transduction",0.0117991443368611,0.0603637384190139,0.0889815112525863,-0.645470385089707,-1.72658909633582,12,"SCN2A;SCN3A;GABBR1;PLCB1;SCN9A","within15_symbol_sensitivity","Down",353,"hsa04742","Taste transduction"
"hsa04744 Phototransduction",0.0294987431613189,0.11196834769834,0.0506778033808967,0.692356351491524,1.57793352489708,8,"RGS9;CALM1;CALM3;GNB1;PDE6G","within15_symbol_sensitivity","Up",353,"hsa04744","Phototransduction"
"hsa04750 Inflammatory mediator regulation of TRP channels",0.468218501967585,0.675740962774979,0.0103258883442375,0.277574971174302,0.992826167217361,47,"PRKCH;CALM1;PRKCA;GNAS;MAP2K3;IL1B;PPP1CC;PTGER2;ADCY7;CALM3","within15_symbol_sensitivity","Up",353,"hsa04750","Inflammatory mediator regulation of TRP channels"
"hsa04810 Regulation of actin cytoskeleton",0.295513713144033,0.532226228264509,0.0130994383542682,0.254937097130816,1.08246037537518,124,"ITGB7;ACTB;PXN;ACTG1;MYL12A;RAC1;ACTN1;CFL1;RRAS2;ARPC2;ACTN4;PDGFA;ARPC5L;MYL12B;TMSB4X;PPP1CC;ITGB2;GNA12;ACTR3C;LPAR5;ITGB1;MAP2K1;CDC42;RGCC;MYL5","within15_symbol_sensitivity","Up",353,"hsa04810","Regulation of actin cytoskeleton"
"hsa04814 Motor proteins",0.776382932097799,0.896765268612332,0.00650391400023386,0.208830757138565,0.84449769366133,91,"ACTB;TUBA4A;TPM3;MYO1F;ACTG1;MYL12A;TUBA1C;TNNT3;TUBB2A;KIFC3;MYL12B","within15_symbol_sensitivity","Up",353,"hsa04814","Motor proteins"
"hsa04820 Cytoskeleton in muscle cells",0.162857324759661,0.370894423484906,0.0191114630372543,0.305197238567655,1.20216889873927,78,"LMNA;ITGB7;ACTB;FBLN2;TPM3;ACTG1;SNTA1;ZYX;VIM;EMD;TNNT3;DSG2;COL6A2;ATP1B3;ENO1;ATP1A1;ITGB1;MYL5","within15_symbol_sensitivity","Up",353,"hsa04820","Cytoskeleton in muscle cells"
"hsa04910 Insulin signaling pathway",0.67247582639982,0.827121835258315,0.0115055951548514,-0.20550066568001,-0.908338775720853,99,"INSR;HKDC1;ACACB;SREBF1;AKT3;PHKB;CRK;SOS1;MTOR;SOCS2;PHKA2;PRKAB2;IKBKB;EIF4EBP1;PCK2;CBL;G6PC3;TSC2;TSC1;PRKAA1;MAPK10;GSK3B;PYGB;RPTOR;SOCS4;PDE3B","within15_symbol_sensitivity","Down",353,"hsa04910","Insulin signaling pathway"
"hsa04911 Insulin secretion",0.88073552156728,0.957010955040226,0.0062927559057546,0.219897498245552,0.72207745239967,32,"PRKCA;GNAS;ATP1B3;FXYD2;ADCY7;ATP1A1;PRKACA;CAMK2D;ATF4;CREB3L3;PLCB4","within15_symbol_sensitivity","Up",353,"hsa04911","Insulin secretion"
"hsa04912 GnRH signaling pathway",0.19638362697046,0.403043141398676,0.017589552093333,0.327262328511494,1.1900066916306,51,"CALM1;EGR1;PRKCA;GNAS;MAP2K3;ELK1;ADCY7;CALM3;MAP2K1;CDC42;PRKACA;GRB2;MAP3K3;MAPK9;MAP3K1;KRAS;CAMK2D;ATF4;PLCB4;NRAS;MAP3K2;MAPK3","within15_symbol_sensitivity","Up",353,"hsa04912","GnRH signaling pathway"
"hsa04913 Ovarian steroidogenesis",0.814207650273224,0.924164953525557,0.00853671628428108,-0.280485967678312,-0.730501302204668,11,"INSR;LDLR;IGF1R;HSD17B7;PLA2G4B","within15_symbol_sensitivity","Down",353,"hsa04913","Ovarian steroidogenesis"
"hsa04914 Progesterone-mediated oocyte maturation",0.957504314696017,0.983716440761625,0.00539995120226924,0.180677617781981,0.684136113071878,63,"ANAPC13;STK10;ADCY7;MAP2K1;ANAPC11;CDC25B;PRKACA;PIK3R3;MAPK9;MAD2L2;RPS6KA3;KRAS;GNAI2;MAD1L1;HSP90AB1;ANAPC15;HSP90AA1;CDC26;MAPK3","within15_symbol_sensitivity","Up",353,"hsa04914","Progesterone-mediated oocyte maturation"
"hsa04915 Estrogen signaling pathway",0.410926490693028,0.647576121493923,0.0149906664632601,-0.246641252225891,-1.01836968856856,68,"GABBR1;FKBP5;CREB5;AKT3;PRKCD;CREB3;HSPA1A;SOS1;ITPR2;PLCB1;HSPA1B","within15_symbol_sensitivity","Down",353,"hsa04915","Estrogen signaling pathway"
"hsa04916 Melanogenesis",0.53319418260167,0.729578728789454,0.00947593453591727,0.274023894722857,0.951666094334863,41,"CALM1;PRKCA;GNAS;ADCY7;CALM3;MAP2K1;PRKACA;FZD6;KRAS;GNAI2;CAMK2D;CREB3L3;PLCB4;NRAS;MAPK3","within15_symbol_sensitivity","Up",353,"hsa04916","Melanogenesis"
"hsa04917 Prolactin signaling pathway",0.316339869281046,0.552811751763412,0.0133759278193304,0.30857266341058,1.09290975692462,45,"FOS;IRF1;STAT5A;STAT3;RELA;SOCS3;MAP2K1;NFKB1;GRB2;PIK3R3;MAPK9","within15_symbol_sensitivity","Up",353,"hsa04917","Prolactin signaling pathway"
"hsa04918 Thyroid hormone synthesis",0.416968392210588,0.654177077557056,0.0142345413935137,-0.282189935343338,-1.02033857789368,37,"TSHR;CREB5;CREB3;ITPR2;GSR;PLCB1;CANX;ITPR1;TTF1;PAX8;GNAQ;CREB3L4;PLCB2;PDIA4;CREB1","within15_symbol_sensitivity","Down",353,"hsa04918","Thyroid hormone synthesis"
"hsa04919 Thyroid hormone signaling pathway",0.894551845342706,0.957010955040226,0.00928236947679954,-0.183203491520473,-0.793748909845927,88,"PFKFB2;RCAN1;AKT3;TBC1D4;ATP2A3;THRA;NCOR1;MTOR;NOTCH3;PLCB1;MED24;PLCD1;PFKM;MED17;ITGAV","within15_symbol_sensitivity","Down",353,"hsa04919","Thyroid hormone signaling pathway"
"hsa04920 Adipocytokine signaling pathway",0.540884920236781,0.732322997635666,0.0123054083300851,-0.247989861130196,-0.951207000002485,48,"ACACB;AKT3;ACSBG1;PPARA;MTOR;TNF;ACSL6;PRKAB2;IKBKB;PCK2;G6PC3;PRKAA1;MAPK10;JAK2;SLC2A1;TRADD","within15_symbol_sensitivity","Down",353,"hsa04920","Adipocytokine signaling pathway"
"hsa04921 Oxytocin signaling pathway",0.193925084551082,0.400324882143461,0.0173448631921251,0.29861842536703,1.17334112265536,77,"FOS;CALM1;ACTB;ACTG1;NFATC2;EEF2K;PRKCA;GNAS;PRKAG2;PPP1CC;NFATC3;ELK1;ADCY7;PPP3R1;CALM3;MAP2K1;PRKACA;NFATC1;CDKN1A;ROCK1;MYL6;KRAS;GNAI2;CAMK2D;EEF2;CD38;PLCB4;NRAS;PPP1CB;MAPK3;PRKAB1;PPP1CA","within15_symbol_sensitivity","Up",353,"hsa04921","Oxytocin signaling pathway"
