"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa04724 Glutamatergic synapse",0.00977658823092078,0.0641934472520836,0.0888109685630062,0.464735996508684,1.64258295535939,37,"HOMER3;GNG4;PPP3R1;PRKCA;GNG5;ADCY7;MAPK3;GNAS;SLC38A1;GNAI2;GNB1;NCDN","reference95","Up",348,"hsa04724","Glutamatergic synapse"
"hsa04725 Cholinergic synapse",0.593626673551433,0.710149747911807,0.00936454971199701,0.239557126525922,0.923982946736205,55,"FOS;GNG4;AKT1;PRKCA;GNG5;ADCY7;CREB3L3;MAPK3;GNAI2;GNB1;PIK3R3;ATF4;CHRNA3;NRAS;BCL2;MAPK1;PIK3R2;PIK3R1;GNG2;GNB2;MAP2K1;PRKACB","reference95","Up",348,"hsa04725","Cholinergic synapse"
"hsa04726 Serotonergic synapse",0.170307141792157,0.342583152275554,0.0203461141897216,0.358368525546383,1.23469540075486,33,"GNG4;PRKCA;GNG5;MAPK3;GNAS;GNAI2;GNB1;NRAS;MAPK1;GNG2;GNB2;BRAF;MAP2K1;PRKACB;HRAS;GNAI3;DUSP1;KRAS;PRKCB;GNG10","reference95","Up",348,"hsa04726","Serotonergic synapse"
"hsa04727 GABAergic synapse",0.261466856842579,0.435361082206783,0.0160369627433748,0.347428847996129,1.14919092387926,28,"GNG4;PRKCA;GNG5;ADCY7;SLC38A1;GPHN;GNAI2;GNB1","reference95","Up",348,"hsa04727","GABAergic synapse"
"hsa04728 Dopaminergic synapse",0.237081620669407,0.412522019964768,0.016750860163457,0.28274123267313,1.13708944933324,68,"FOS;CALM1;GNG4;PPP1CC;MAPK9;AKT1;PRKCA;GNG5;CREB3L3;CALM3;GNAS;PPP2R5C;GNAI2;GNB1;ARRB1;KIF5B;ATF4;PPP1CA","reference95","Up",348,"hsa04728","Dopaminergic synapse"
"hsa04730 Long-term depression",0.381205740192589,0.545924269905436,0.0127655922223653,0.312133636268699,1.04946677965526,30,"PRKCA;MAPK3;GNAS;GNAI2;GNA12;GNA13;NRAS;MAPK1;BRAF;MAP2K1;GUCY1B1;HRAS;GNAI3;PPP2R1A;KRAS;PRKCB","reference95","Up",348,"hsa04730","Long-term depression"
"hsa04740 Olfactory transduction",0.693206914934125,0.778180665797018,0.00852676378112948,0.296247579881383,0.830829019997147,15,"CALM1;CALM3;GNB1;ARRB1","reference95","Up",348,"hsa04740","Olfactory transduction"
"hsa04742 Taste transduction",0.00814373268407355,0.0616091081316868,0.103512211546455,-0.680200098771236,-1.7729827818013,11,"SCN2A;SCN3A;GABBR1","reference95","Down",348,"hsa04742","Taste transduction"
"hsa04744 Phototransduction",0.0172261314261545,0.0861399520478072,0.0678931142999284,0.712336596076863,1.66063071790549,8,"RGS9;CALM1;CALM3;GNB1;PDE6G","reference95","Up",348,"hsa04744","Phototransduction"
"hsa04750 Inflammatory mediator regulation of TRP channels",0.244236737106546,0.420764279767714,0.0165297024192977,0.311293977793291,1.14386543668303,44,"PRKCH;CALM1;PPP1CC;MAPK9;MAP2K3;PRKCA;ADCY7;CALM3;GNAS","reference95","Up",348,"hsa04750","Inflammatory mediator regulation of TRP channels"
"hsa04810 Regulation of actin cytoskeleton",0.561231857895877,0.682897505411766,0.00960575301965015,0.214355729920543,0.953191908691876,121,"ACTB;ACTG1;PPP1CC;ITGB7;ITGB1;MYL12A;AKT1;CFL1;ITGB2;MAPK3;ARPC2;PXN;ACTR3;PIK3R3;CYFIP2;ROCK1;ACTN1;DIAPH3;MYH10;MSN;ACTN4;GNA12;RAC1;PPP1CA;ACTR3C;ARPC5;GNA13;ARPC1A;NRAS;RRAS2;ARPC3;PPP1CB;MAPK1;ARPC5L;MYL12B;PIK3R2;EZR;PIK3R1;LPAR5;TMSB4X;BRAF;MAP2K1;RGCC;DIAPH1","reference95","Up",348,"hsa04810","Regulation of actin cytoskeleton"
"hsa04814 Motor proteins",0.565891754449691,0.686168399123667,0.00959052973176192,0.22321524017691,0.945578967841393,90,"ACTB;ACTG1;TPM3;TUBA1B;TUBA4A;TUBA1C;MYO1F;MYL12A;KIF15;DYNLL2;DCTN5;KIF11;TNNT3;TUBB;MYH10;KIF5B;TPM4;KIF2C;KIF2A;KIF20B;MYO19;KIFC1;KIFC3;KIF7;ACTR1B;MYL12B;KIF20A;KIF13B","reference95","Up",348,"hsa04814","Motor proteins"
