"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa05012 Parkinson disease",1.15714016164059e-11,1.36156825686376e-09,0.392258554488751,0.49280566693527,2.22834006320543,199,"CALM1;NDUFAB1;TUBA4A;SLC39A4;COX7A2L;ADRM1;ATP5F1B;COX5A;NDUFA6;VDAC1;UQCRH;PSMB1;COX4I1;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;UBA52;NDUFC2;NDUFV2;GNAS;NDUFA12;COX7A2;SLC25A5;COX7B;RPS27A;ATP5PF;TXN2;UBC;NDUFB9;UBE2L6;PSMB3;TUBB2A;BAX;UQCRB;CYC1;SLC18A2;PSMA7;PSMD12;VDAC2;ATP5F1C;UQCR11;COX8A;SLC39A3;UBE2J2;KIF5B;CALM3;PSMD7;PSMB7;PARK7;SLC25A6;ATP5PB;ATP5F1A;DUSP1;NDUFA2;NDUFB11;NDUFA9;PSMD8;NDUFB2;PSMC3;NDUFS4;NDUFS3;PRKACA;SOD1;PSMC4;NDUFA1;SDHB;ATP5MC3;MAPK9;SLC39A13;PSMC5;UQCR10;UBB;SEM1;MFN2;PSMA4;XBP1;UQCRHL;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;SLC39A8;TXN;UBA7;UBE2L3;HTRA2;GNAI2;PSMC1;TUBA1B;CAMK2D;NDUFS5;ATF4;PSMD6;COX7C;PSMA3;COX5B;NDUFB3;UQCRFS1;NDUFA7;NDUFS6;ATP5PD;NDUFB6;KEAP1;UQCRQ","within15","Up",353,"hsa05012","Parkinson disease"
"hsa05014 Amyotrophic lateral sclerosis",2.12820899545934e-06,6.77681951144806e-05,0.28109192003456,0.381253814492096,1.7796281674664,265,"ACTB;NDUFAB1;TUBA4A;ACTG1;COX7A2L;ADRM1;OPTN;ATP5F1B;COX5A;NDUFA6;VDAC1;TOMM40;UQCRH;ALYREF;PSMB1;COX4I1;GPX7;COX6C;NXT1;COX6A1;NDUFB7;ATP5F1E;TUBA1C;NDUFC2;NDUFV2;RAC1;NDUFA12;MAP2K3;CHMP2B;COX7A2;WDR41;DERL1;COX7B;ATP5PF;NDUFB9;PSMB3;TUBB2A;BAX;HNRNPA1;UQCRB;BID;CYC1;PSMA7;SRSF3;PSMD12;ATP5F1C;UQCR11;COX8A;PPP3R1;KIF5B;PSMD7;PSMB7;ATP5PB;NUP153;ATP5F1A;NDUFA2;RAB8A;NDUFB11;CASP1;TANK;RAB5A;NDUFA9;PSMD8;NDUFB2;PSMC3;NDUFS4;NDUFS3;UBQLN4;SOD1;PSMC4;TNFRSF1B;NDUFA1;SDHB;NRBF2;MAP1LC3B;ATP5MC3;ANXA11;PSMC5;UQCR10;SEM1;PSMA4;XBP1;UQCRHL;BECN1;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;NUP35;SRSF7;PSMC1;ATG101;TUBA1B;NDC1;NDUFS5;ATF4;PSMD6;COX7C;PSMA3;COX5B;ULK2;NDUFB3;BCL2;UQCRFS1;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ;RAE1;NDUFA11;NUP155;ANXA7;NUP58;SEH1L;PSMB2;VAPB;NDUFS7;HNRNPA3;NUP37;ATP5PO;CYCS;UQCRC2;DDIT3;PSMD3;DCTN3","within15","Up",353,"hsa05014","Amyotrophic lateral sclerosis"
"hsa05016 Huntington disease",1.18837375282236e-07,5.24369918432866e-06,0.31592004486555,0.420057386274872,1.92269031494192,222,"NDUFAB1;TUBA4A;CLTB;COX7A2L;ADRM1;POLR2D;TAF4B;ATP5F1B;COX5A;NDUFA6;BBC3;VDAC1;UQCRH;PSMB1;COX4I1;GPX7;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;NDUFC2;NDUFV2;NDUFA12;COX7A2;SLC25A5;COX7B;ATP5PF;NDUFB9;POLR2C;PSMB3;TUBB2A;BAX;UQCRB;CYC1;TFAM;PSMA7;PSMD12;VDAC2;ATP5F1C;SOD2;UQCR11;COX8A;TBPL1;KIF5B;PSMD7;PSMB7;SLC25A6;ATP5PB;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;HDAC1;PSMD8;NDUFB2;PSMC3;NDUFS4;NDUFS3;SOD1;POLR2K;PSMC4;SIN3A;NDUFA1;SDHB;NRBF2;ATP5MC3;MAPK9;POLR2G;PSMC5;UQCR10;SEM1;PSMA4;UQCRHL;POLR2E;BECN1;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;AP2S1;POLR2L;PSMC1;ATG101;TUBA1B;HDAC2;NDUFS5;PSMD6;COX7C;PSMA3;COX5B;RCOR1;CREB3L3;ULK2;NDUFB3;PLCB4;UQCRFS1;NDUFA7;POLR2H;NDUFS6;ATP5PD;NDUFB6;POLR2I;UQCRQ","within15","Up",353,"hsa05016","Huntington disease"
"hsa05017 Spinocerebellar ataxia",0.176694639705199,0.38265771666218,0.0179770266754138,0.281780030785333,1.1730259239898,109,"ADRM1;VLDLR;VDAC1;PSMB1;PRKCA;SLC25A5;AFG3L2;PSMB3;PSMA7;PSMD12;VDAC2;TBPL1;PSMD7;PSMB7;SLC25A6;PSMD8;ATP2A2;PSMC3;PSMC4;PIK3R3;NRBF2;MAPK9;PSMC5;SEM1;PSMA4;XBP1;BECN1;ATXN1L;PSMC1;ATG101;PSMD6;PSMA3;ULK2;PLCB4;TWNK;SPTBN2;CIC;RBPJ;PSMB2;PIK3R1;CYCS;PSMD3;PSMA2;NOP56;PSMD11","within15","Up",353,"hsa05017","Spinocerebellar ataxia"
"hsa05020 Prion disease",1.33620266338888e-08,7.86132566960456e-07,0.335083809055783,0.455675686090177,2.04760232657734,189,"NCF1;NDUFAB1;EGR1;TUBA4A;STIP1;COX7A2L;ADRM1;ATP5F1B;COX5A;NDUFA6;CYBA;VDAC1;UQCRH;PSMB1;COX4I1;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;NDUFC2;NDUFV2;RAC1;NDUFA12;COX7A2;SLC25A5;COX7B;ATP5PF;NDUFB9;CCL5;PSMB3;TUBB2A;BAX;UQCRB;IL1B;CYC1;PSMA7;PSMD12;PRNP;VDAC2;ATP5F1C;UQCR11;COX8A;PPP3R1;KIF5B;PSMD7;PSMB7;SLC25A6;ATP5PB;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;PSMD8;NDUFB2;PSMC3;NDUFS4;NDUFS3;PRKACA;SOD1;PSMC4;PIK3R3;NDUFA1;SDHB;ATP5MC3;MAPK9;PSMC5;UQCR10;SEM1;PSMA4;UQCRHL;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;RAC2;CSNK2B;PSMC1;TUBA1B;NDUFS5;ATF4;PSMD6;CSNK2A1;COX7C;PSMA3;COX5B;CREB3L3;NDUFB3;UQCRFS1;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ","within15","Up",353,"hsa05020","Prion disease"
"hsa05022 Pathways of neurodegeneration - multiple diseases",8.05002040853385e-08,4.05951029173207e-06,0.31592004486555,0.385908334422601,1.82902586281934,307,"CALM1;NDUFAB1;TUBA4A;COX7A2L;ADRM1;OPTN;ATP5F1B;COX5A;NDUFA6;VDAC1;TOMM40;RELA;UQCRH;PSMB1;COX4I1;FRAT2;PRKCA;GPX7;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;UBA52;NDUFC2;NDUFV2;RAC1;NDUFA12;MAP2K3;CHMP2B;COX7A2;WDR41;DERL1;SLC25A5;COX7B;RPS27A;ATP5PF;UBC;NDUFB9;UBE2L6;PSMB3;TUBB2A;BAX;UQCRB;IL1B;BID;CYC1;PSMA7;PSMD12;PRNP;VDAC2;ATP5F1C;UQCR11;COX8A;UBE2J2;PPP3R1;KIF5B;CALM3;PSMD7;PSMB7;PARK7;SLC25A6;ATP5PB;MAP2K1;ATP5F1A;NDUFA2;RAB8A;NDUFB11;TANK;RAB5A;NDUFA9;PSMD8;AGER;ATP2A2;NDUFB2;PSMC3;NDUFS4;CAPN2;NDUFS3;SOD1;FAS;NFKB1;PSMC4;TNFRSF1B;NDUFA1;SDHB;NRBF2;MAP1LC3B;ATP5MC3;MAPK9;PSMC5;UQCR10;UBB;SEM1;FZD6;MFN2;PSMA4;XBP1;UQCRHL;BECN1;ATP5MC1;ATP5MC2;COX6B1;AXIN1;NDUFB4;CSNK2B;UBA7;UBE2L3;KRAS;HTRA2;ATXN1L;PSMC1;ATG101;TUBA1B;CAMK2D;NDUFS5;ATF4;PSMD6;CSNK2A1;COX7C;PSMA3;CASP7;COX5B;ULK2;NDUFB3;PLCB4;BCL2;UQCRFS1;NRAS;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ;SPTBN2","within15","Up",353,"hsa05022","Pathways of neurodegeneration - multiple diseases"
"hsa05030 Cocaine addiction",0.310395622895623,0.547848274410774,0.013912917020874,0.371588615553097,1.11692075167049,22,"FOSB;RGS9;RELA;GNAS;SLC18A2;PRKACA;NFKB1;GNAI2;ATF4;CREB3L3","within15","Up",353,"hsa05030","Cocaine addiction"
"hsa05031 Amphetamine addiction",0.0658788372724803,0.197414130143164,0.0321172882723777,0.418119721673291,1.40571873422741,35,"FOS;FOSB;CALM1;PRKCA;GNAS;SLC18A2;PPP1CC;PPP3R1;CALM3;HDAC1;PRKACA","within15","Up",353,"hsa05031","Amphetamine addiction"
"hsa05032 Morphine addiction",0.0116411620435939,0.0595555101650529,0.0783818514651502,0.519447980004553,1.65706152080544,28,"PDE4B;GNG5;GNG4;PRKCA;GNAS;GRK6;PDE4D;ADCY7;GNG10;GNB1;GNG2;PRKACA;GNB2;GNAI2;ARRB1;GRK2","within15","Up",353,"hsa05032","Morphine addiction"
"hsa05034 Alcoholism",0.100657313842833,0.260672349651578,0.0251930772213615,0.342236108733775,1.29052350932634,62,"FOSB;CALM1;GNG5;GNG4;GNAS;SLC18A2;PPP1CC;GNG10;CALM3;GNB1;MAP2K1;GNG2;PKIA;HDAC1;PRKACA;HDAC5;GRB2;HDAC9;GNB2;KRAS;GNAI2;HDAC2;ATF4;CREB3L3;NRAS;PPP1CB;HAT1;MAPK3;PPP1CA","within15","Up",353,"hsa05034","Alcoholism"
