"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","analysis"
"hsa03010 Ribosome",1.12794209966497e-05,0.00132721187060578,0.2658863377706,0.395699627022543,1.83560693503016,169,"MRPL15;MRPS2;RPL39L;MRPS18A;MRPL37;MRPS7;MRPS6;MRPL1;RPL26L1;MRPL33;MRPL36;AURKAIP1;RPL30;MRPL24;RPS16;RPL8;RPLP1;RPL23A;MRPL20;MRPL54;MRPL27;RPS6;RPLP2;UBA52;MRPL11;RPS13;MRPL47;MRPL58;RPL4;RPL7;RPS7;MRPL3;MRPL49;RPL21;RPS17;RPL37;MRPL14;MRPS30;RPL18A;RPLP0;MRPL51;RPS27A;RPS28;RPL38;RPS27L;RPS20;RPS15A;MRPS23;RPL19;MRPS35;RPS25;MRPL21;RPL27A;RPS27;RPS21;RPS24;RPL14;RPL36;RPS4X;MRPL40;RPS3A;RPL23;RPS29;RPL5;RPL3;RPS3;RPS19;RPL13A;RPS2;RPL22;RPL35;RPL27;RSL24D1;RPL39;RPL11;RPL36A;MRPL41;RPS14;RPL35A;MRPS28;RPL9;RPL24;MRPL12;RPS12;RPL37A;RPL18;RPL15;MRPL2;MRPL17;RPL10A;RPS23;MRPL39;RPL32;RPL17;RPL12","hsa03010","Ribosome","historical_rank_high_precision"
"hsa03013 Nucleocytoplasmic transport",0.269370435350279,0.475438818393243,0.0165426816557638,0.257125212087443,1.09675436089027,98,"EIF4A3;ALYREF;NXT1;MAGOH;KPNB1;SEH1L;IPO7;NUP58;KPNA1;SUMO1;SUMO2;TNPO1;KPNA4;THOC7;NUP155;RAN;SUMO3;TMEM33;RNPS1;EEF1A1;SRRM1;POM121C;NDC1;XPOT;PYM1;RAE1;XPO6;NCBP1;RBM8A;IPO5;KPNA3","hsa03013","Nucleocytoplasmic transport","historical_rank_high_precision"
"hsa03015 mRNA surveillance pathway",0.855041760032593,0.891897402004774,0.00758614537262908,0.195841010025032,0.805273295038944,80,"EIF4A3;ALYREF;GSPT1;PPP1CC;NXT1;MAGOH;DAZAP1;NUDT21;PABPC1;ETF1;PABPC4;PPP2R5C;RNPS1;PPP1CB;SRRM1;SSU72;PYM1;PELO;NCBP1;PPP1CA;RBM8A;RNMT;RNGTT;PPP2R5A;MAGOHB;UPF2;PAPOLA;FUS;PABPC1L;WDR33;CPSF4;UPF3A","hsa03015","mRNA surveillance pathway","historical_rank_high_precision"
"hsa03018 RNA degradation",0.584636577262783,0.742464006521042,0.0101300073680091,0.235469725978139,0.933742938634659,66,"EXOSC4;TOB2;HSPD1;ENO1;PNPT1;TENT4B;PFKP;EXOSC6;LSM5;CNOT9;HSPA9;PABPC1;EXOSC5;TENT4A;PABPC4;MPHOSPH6;DCP2;EXOSC7","hsa03018","RNA degradation","historical_rank_high_precision"
"hsa03020 RNA polymerase",0.48861316790074,0.678105433718747,0.011352190815445,0.292300888000414,0.977225822521474,30,"POLR2D;POLR1B;POLR2C;POLR3H;POLR3C;POLR2H;POLR2L;POLR2I","hsa03020","RNA polymerase","historical_rank_high_precision"
"hsa03022 Basal transcription factors",0.614663770913771,0.748194176319176,0.00972450518895419,0.256045076337656,0.908101447148827,39,"TAF4B;TAF5L;GTF2H3;TAF9B;ERCC2;GTF2E1;ERCC3;TAF9;TAF1;GTF2A1;TBPL1","hsa03022","Basal transcription factors","historical_rank_high_precision"
"hsa03030 DNA replication",0.000792836648555076,0.0139935668469971,0.213878881440171,0.55285865774742,1.90283089996054,34,"MCM4;FEN1;PCNA;POLE3;MCM6;POLD3;RFC2;RFC3;RFC5;RFC4;MCM2;POLA1;RPA2;DNA2;SSBP1;POLA2;POLE","hsa03030","DNA replication","historical_rank_high_precision"
"hsa03040 Spliceosome",0.0015870858990792,0.0233433884322899,0.203925512082896,0.354520734877282,1.59544626452866,137,"EIF4A3;ALYREF;SRSF6;SNRPD1;SNRPB;PUF60;MAGOH;CHERP;SRSF7;SNRPB2;RBM17;SRSF2;SRSF3;RP9;PPIH;LSM5;HNRNPA1;TXNL4A;HNRNPC;SNRPE;SNRPA1;PPIL1;SF3B6;SF3B4;SNRPF;SRSF9;THOC7;TCERG1;PRPF19;HNRNPA3;PRPF40A;BUD13;SNU13;PQBP1;BUD31;DDX5;PRPF6;SF1;LSM2;SF3A3;SNRPD2;SRSF5;SNRPC;NCBP1;SF3A2;LSM3;RBM8A;HNRNPM;HNRNPU;SNRPG;TRA2B;U2SURP;CCDC12;SMNDC1;PCBP1;PRPF38B;AQR;ZMAT2;MAGOHB;LSM6;SNIP1;U2AF2;SRSF10","hsa03040","Spliceosome","historical_rank_high_precision"
"hsa03050 Proteasome",0.0218004513217279,0.126156710107704,0.061718663017506,0.415826014095646,1.51586668427521,44,"ADRM1;PSMB1;PSMC5;PSME2;POMP;PSMB9;PSMD8;PSMA7;PSMD11;PSME4;PSMD12;PSMC3;PSMB3;PSMB7;SEM1;PSMD2;PSMD7;PSMC4;PSMA4;PSMA8;PSMC1;PSMB2","hsa03050","Proteasome","historical_rank_high_precision"
"hsa03060 Protein export",0.0808485091054633,0.252849594771929,0.031448510411899,0.411328146378186,1.37515998983242,30,"SGTA;GET4;SRPRA;SRP72;SRPRB;SEC11A;SPCS1;SPCS3;SRP9;GET3;GET1;TMEM208;SPCS2","hsa03060","Protein export","historical_rank_high_precision"
