"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa03082 ATP-dependent chromatin remodeling",0.333400033350008,0.558458523840627,0.0129066962464401,0.26576702816064,1.06754577576554,85,"CHRAC1;ACTB;SMARCD3;ACTG1;BCL7B;BPTF;MRGBP;ACTR5;POLE3;MTA2;DPF3;HDAC2;BAZ1A;SMARCD2;HDAC1;MBD2;UCHL5;SMARCC1","within25","Up",355,"hsa03082","ATP-dependent chromatin remodeling"
"hsa03083 Polycomb repressive complex",0.188761629664461,0.387343228502218,0.018131639209319,0.298987737409972,1.17754611972883,76,"PHF19;SCML2;FOXK2;UBE2D1;TFDP1;PCGF1;UBE2D3;RING1;L3MBTL1;ASXL1;UBE2D2;L3MBTL3;PHC2;SKP1;HDAC2;RYBP;CBX2;YAF2;HDAC1;PHF1;FBRS;RNF2;SUZ12;CBX3","within25","Up",355,"hsa03083","Polycomb repressive complex"
"hsa03250 Viral life cycle - HIV-1",0.467122693771376,0.685964008348231,0.0131538819293943,-0.252126866745097,-0.991246450912015,57,"CXCR4;CD4;MAP1A;BICD1;TRIM5;MLLT3","within25","Down",355,"hsa03250","Viral life cycle - HIV-1"
"hsa03266 Virion - Herpesvirus",0.872519405039575,0.935498737300765,0.00704181357294365,0.31304495468632,0.65549937604379,6,"NECTIN1","within25","Up",355,"hsa03266","Virion - Herpesvirus"
"hsa03272 Virion - Hepatitis viruses",0.708581601511408,0.849819150461317,0.00806822316177981,0.27893144368288,0.830381353877827,21,"CD63;EPCAM;CD81;VPS4A;LAMP1;CHMP1A","within25","Up",355,"hsa03272","Virion - Hepatitis viruses"
"hsa03273 Virion - Lassa virus and SFTS virus",0.524382012992491,0.732896120521002,0.011216662790334,-0.419888017273269,-0.945116368534187,7,"PCDH9;LAMP2","within25","Down",355,"hsa03273","Virion - Lassa virus and SFTS virus"
"hsa03320 PPAR signaling pathway",0.397288073055991,0.621309541563334,0.0141426081827656,-0.288863412773698,-1.0294978792344,36,"SCD;ACSBG1;ME3;PPARA;ACSL6;PCK2;APOA1;SLC27A4;ACSL3;RXRB","within25","Down",355,"hsa03320","PPAR signaling pathway"
"hsa03410 Base excision repair",0.295173063338827,0.515101212584418,0.0170429523024339,-0.29735552126559,-1.09902951953266,43,"PARP2;PARP3;XRCC1;APTX;MUTYH;POLG2;LIG1;POLD2;PARG;NEIL2;POLD4;SMUG1;POLD1;NEIL3","within25","Down",355,"hsa03410","Base excision repair"
"hsa03420 Nucleotide excision repair",0.980830888873729,0.992008448860895,0.00554568594018824,0.169175198172326,0.636189377820475,60,"POLR2D;POLE3;RFC5;GTF2H3;POLR2C;RBX1;POLR2H;POLR2K;DDB2;ERCC3;RPA2;ERCC1;CDK7;POLE2;POLR2G;CUL4A;POLR2L;PCNA","within25","Up",355,"hsa03420","Nucleotide excision repair"
"hsa03430 Mismatch repair",0.987757474479602,0.994174552993479,0.00590961130652268,0.173219520607001,0.521416506503664,22,"RFC5;SSBP1;MLH3;RPA2;PCNA;RPA3;POLD3;RFC2;RFC1;MLH1;PMS2;RFC4;EXO1;MSH6;RPA1;MSH3;RFC3;MSH2;POLD1;POLD4;POLD2;LIG1","within25","Up",355,"hsa03430","Mismatch repair"
"hsa03440 Homologous recombination",0.960938949712377,0.980268181459465,0.00767181399171521,-0.181672068390667,-0.655330332572373,38,"BRCC3;RAD51D;RAD51;RAD51B;BARD1;POLD2;RAD52;POLD4;MRE11;POLD1","within25","Down",355,"hsa03440","Homologous recombination"
"hsa03450 Non-homologous end-joining",0.220799513867789,0.425086975908848,0.0191720568210543,-0.44791426910921,-1.21655077726274,13,"DNTT;XRCC4;NHEJ1;MRE11","within25","Down",355,"hsa03450","Non-homologous end-joining"
"hsa03460 Fanconi anemia pathway",0.972334473111595,0.986224965584617,0.0056839778576509,0.178432020654554,0.639451211910808,47,"REV1;FAAP24;USP1;RAD51C;ATRIP;BRCA2;RPA2;ERCC1;WDR48;BRIP1","within25","Up",355,"hsa03460","Fanconi anemia pathway"
"hsa04010 MAPK signaling pathway",0.00335956698914362,0.0248467975238747,0.138995702591412,0.335387695909228,1.50336390975383,175,"GADD45B;FOS;MYC;PTPN7;TGFB1;RELA;DUSP6;RASGRP1;RAP1A;PRKCA;MAP2K3;FLT3LG;NFATC3;IL1B;MAP3K8;MAPK9;RAP1B;MKNK2;FLT1;GNA12;NFATC1;NFKB2;DUSP2;MYD88;RPS6KA5;MAPKAPK3;PPP3R1;ELK1;MAP3K3;FGF9;RASGRP3;MAP4K2;RRAS2;RASA2;CDC25B;MAP3K7;RASGRP2;PDGFA;GRB2;MAP3K4;ATF4;DUSP5;DUSP1;RELB;IRAK1;RAC1;MAP3K14;NFKB1;MAP3K1;RPS6KA3;MAP2K1","within25","Up",355,"hsa04010","MAPK signaling pathway"
"hsa04012 ErbB signaling pathway",0.773190604438687,0.879758941310462,0.00708139668041704,0.219790990480818,0.829277204959755,61,"MYC;STAT5A;PRKCA;MAPK9;PIK3R3;ELK1","within25","Up",355,"hsa04012","ErbB signaling pathway"
"hsa04014 Ras signaling pathway",0.0668689085393403,0.210021211420987,0.0310344516386952,0.302182463429007,1.28931314517348,123,"GNG4;RALA;RELA;RASGRP1;RAP1A;PRKCA;CALM1;FLT3LG;GNG5;MAPK9;RAP1B;FLT1;ARF6;PIK3R3;RASSF5;ELK1;FGF9;REL;RAPGEF5;RASGRP3;GNG8;GNB1;RRAS2;RASA2;RASGRP2;PDGFA;ETS1;GRB2;TIAM1;GNG10;RAC1;CALM3;NFKB1;MAP2K1;GNG2;ETS2;CDC42;RAB5A;RAB5C;NRAS;LAT;KRAS","within25","Up",355,"hsa04014","Ras signaling pathway"
"hsa04015 Rap1 signaling pathway",0.00767704368758336,0.044677877198231,0.0937893629462328,0.356038969732916,1.50675354776885,117,"SIPA1L1;SIPA1;RALA;ACTB;ID1;ACTG1;RAP1A;LCP2;PRKCA;SKAP1;FARP2;CALM1;RAPGEF1;MAP2K3;RAP1B;ITGB1;FLT1;GNAS;ENAH;PARD6B;PRKD2;PIK3R3;RASSF5;FGF9;ADCY7;RAPGEF5;RASGRP3;ITGB2;LPAR5;RASGRP2;PDGFA;TIAM1;RAC1;CALM3;RAP1GAP","within25","Up",355,"hsa04015","Rap1 signaling pathway"
"hsa04020 Calcium signaling pathway",0.130361229973132,0.296655363079883,0.0274397577172773,-0.289136083271117,-1.21473089958707,80,"CXCR4;FLT4;CAMK4;GNA11;PHKB;P2RX1;FGFR1;TPCN1;PLCD1;MYLK;MCU;PLCG2;HRH2;ATP2A3;CALML4;PLCB1;STIM1;PTK2B;PHKA2;F2R","within25","Down",355,"hsa04020","Calcium signaling pathway"
"hsa04022 cGMP-PKG signaling pathway",0.278992942589719,0.495212473096752,0.0182157415541851,-0.256000584722706,-1.09090420769413,86,"CREB5;INSR;PRKCE;CREB3;NPPC;PRKG2;GNA11;PIK3R5;AKT3;MYLK","within25","Down",355,"hsa04022","cGMP-PKG signaling pathway"
"hsa04024 cAMP signaling pathway",0.139576498657918,0.308561705915919,0.0212740189211973,0.297511638259748,1.21570197152871,94,"FOS;RELA;RAP1A;ORAI1;CALM1;FXYD2;PDE4B;ATP1B3;MAPK9;RAP1B;GNAS;NFATC1;OXT;PPP1CC;PIK3R3;ADCY7;ATP1A1;ABCC4;RRAS2;ATP2A2;TIAM1;PDE4D;RAC1;CALM3;NFKB1;MAP2K1;ATP2B1","within25","Up",355,"hsa04024","cAMP signaling pathway"
"hsa04060 Cytokine-cytokine receptor interaction",0.000354327741652527,0.00584682586485786,0.223389206037189,0.433103379830673,1.76677542095687,93,"IL4;CSF3R;OSM;CD70;XCL1;IL2RA;IL4R;CXCR3;IL21R;TGFB1;XCL2;IL27RA;CCR9;CCR7;LTB;TNFSF9;IL1B;IFNGR2;IL10RA;LIF;TNFSF10;TNFSF14;IL10;CCL5;ACVR1B;TNFRSF9;IFNG;TNFRSF1B;RELT","within25","Up",355,"hsa04060","Cytokine-cytokine receptor interaction"
"hsa04061 Viral protein interaction with cytokine and cytokine receptor",0.0377824858757062,0.142689175381656,0.0436404279207219,0.43893915444051,1.48355319638569,36,"XCL1;IL2RA;CXCR3;XCL2;CCR9;CCR7;IL10RA;TNFSF10;TNFSF14;IL10;CCL5;TNFRSF1B;CCL4;IL18R1;TNFRSF10A;CCL3;TNFRSF14","within25","Up",355,"hsa04061","Viral protein interaction with cytokine and cytokine receptor"
"hsa04062 Chemokine signaling pathway",0.0161069448972938,0.0762395391805239,0.0646214973344484,0.34238855921226,1.44336857638287,114,"XCL1;GNG4;CXCR3;PXN;XCL2;RELA;STAT3;CCR9;RAP1A;CCR7;GNG5;RAP1B;NCF1;JAK3;GRK6;CCL5;PIK3R3;ITK;ADCY7;GNG8;GNB1;RASGRP2;GRB2;CCL4;TIAM1;GNG10;RAC1;NFKB1;NFKBIB;MAP2K1;STAT2;GNG2;STAT1;GRK2;CCL3;CDC42","within25","Up",355,"hsa04062","Chemokine signaling pathway"
"hsa04064 NF-kappa B signaling pathway",0.0104893925596142,0.0564202175555004,0.0816189254093721,0.400113209343365,1.55539832826679,71,"GADD45B;PLAU;MALT1;BCL2A1;RIPK1;RELA;LTB;IL1B;TNFSF14;NFKB2;MYD88;MAP3K7;TRAF3;CCL4;BCL10;RELB;IRAK1;MAP3K14;NFKB1","within25","Up",355,"hsa04064","NF-kappa B signaling pathway"
"hsa04066 HIF-1 signaling pathway",0.0102636345341115,0.0560552347632243,0.0822882659190457,0.390254881320626,1.54457041978623,78,"LDHA;RELA;STAT3;EPAS1;PRKCA;PGK1;ALDOA;ALDOC;IFNGR2;MKNK2;FLT1;ELOC;HK1;ENO1;LDHB;PIK3R3;GAPDH;PFKP;RPS6;EIF4E2;IFNG;EGLN2;ELOB;RBX1;NFKB1;RPS6KB1;SERPINE1;MAP2K1;VHL;PDHA1;TFRC;CAMK2D","within25","Up",355,"hsa04066","HIF-1 signaling pathway"
"hsa04068 FoxO signaling pathway",0.22596848325673,0.426695806149677,0.0161489228203985,0.271797665156496,1.13382162485916,107,"GADD45B;HOMER3;TGFB1;KLF2;STAT3;FOXO1;IRS1;S1PR4;MAPK9;TNFSF10;PRKAG2;IL10;PRKAB1;PIK3R3;SOD2;ATG12;CDKN2D;MDM2;PLK3;GRB2;S1PR1","within25","Up",355,"hsa04068","FoxO signaling pathway"
