"cluster","cell_type","panel","gene","mean_log_expression","pct_expressing"
"6","T-lineage candidate","Immaturity","PTCRA",0.00177490186571575,0.285306704707561
"6","T-lineage candidate","Immaturity","CD34",0,0
"6","T-lineage candidate","Immaturity","SOX4",1.94232312105796,96.1483594864479
"6","T-lineage candidate","B cell","MS4A1",0.00255980629014168,0.427960057061341
"6","T-lineage candidate","B cell","CD79A",0.555213069715939,48.2168330955777
"6","T-lineage candidate","B cell","CD79B",0.0282587883429325,3.56633380884451
"6","T-lineage candidate","Myeloid","LYZ",0.00429688449292588,0.427960057061341
"6","T-lineage candidate","Myeloid","LST1",1.38628528320342,87.018544935806
"6","T-lineage candidate","Myeloid","FCN1",0.00235052002972048,0.285306704707561
"6","T-lineage candidate","pDC","CLEC4C",0.00181216841499888,0.14265335235378
"6","T-lineage candidate","pDC","LILRA4",0,0
"6","T-lineage candidate","pDC","TCF4",0.00230866443506153,0.285306704707561
"6","T-lineage candidate","Erythroid","HBB",0.0235603988107183,2.1398002853067
"6","T-lineage candidate","Erythroid","ALAS2",0.00127654844596139,0.14265335235378
"6","T-lineage candidate","Erythroid","AHSP",0,0
"6","T-lineage candidate","Cytotoxic","NKG7",0.881235812633335,66.7617689015692
"6","T-lineage candidate","Cytotoxic","GNLY",0.107917415361985,7.2753209700428
"6","T-lineage candidate","Cytotoxic","KLRD1",0.00242669704494749,0.285306704707561
"6","T-lineage candidate","Cell cycle","MKI67",0.0446571866010908,3.99429386590585
"6","T-lineage candidate","Cell cycle","TOP2A",0.0286430194111347,3.56633380884451
"6","T-lineage candidate","Cell cycle","UBE2C",0.00658962970106081,0.855920114122682
"7","T-lineage candidate","T lineage","CD3D",1.57153090178181,98.2758620689655
"7","T-lineage candidate","T lineage","CD3E",1.57328584364254,99.1379310344828
"7","T-lineage candidate","T lineage","TRAC",0.193141677917024,23.7068965517241
"7","T-lineage candidate","T lineage","CD5",0.236744063250712,45.6896551724138
"7","T-lineage candidate","T lineage","CD7",1.37468950579068,96.6954022988506
"7","T-lineage candidate","Immaturity","DNTT",1.36536919078809,91.8103448275862
