"cell_type","panel","gene","mean_log_expression","pct_expressing","cells","z"
"T-lineage candidate","B cell","CD79B",0.0743292156010097,11.6074212659807,12828,-0.416443593925142
"T-lineage candidate","B cell","MS4A1",0.00196310627001796,0.194886186467103,12828,-0.412759132744919
"T-lineage candidate","Cell cycle","MKI67",0.247237274460098,19.1690053009043,12828,0.308749220395353
"T-lineage candidate","Cell cycle","TOP2A",0.177574881195664,14.7645774867477,12828,0.300249254800653
"T-lineage candidate","Cell cycle","UBE2C",0.164909743889706,13.3380106018085,12828,0.129920589151824
"T-lineage candidate","Cytotoxic","GNLY",0.0374825857633473,2.39320236981603,12828,-0.390594291831058
"T-lineage candidate","Cytotoxic","KLRD1",0.0184943025547884,1.80854381041472,12828,-0.387930550176352
"T-lineage candidate","Cytotoxic","NKG7",0.426507075602642,40.1231680698472,12828,-0.264768495964692
"T-lineage candidate","Erythroid","AHSP",0.00418098889457115,0.467726847521048,12828,-0.435177569290802
"T-lineage candidate","Erythroid","ALAS2",0.000549824858681986,0.0545681322107888,12828,-0.430053011776306
"T-lineage candidate","Erythroid","HBB",0.0557463033403595,6.1895852821952,12828,-0.430592761529238
"T-lineage candidate","Immaturity","CD34",0.0140425120131726,1.88649828500156,12828,-0.325442806664223
"T-lineage candidate","Immaturity","DNTT",1.04861124242414,66.6978484565014,12828,2.02443525257032
"T-lineage candidate","Immaturity","PTCRA",0.497150621715009,40.325849703773,12828,0.808452803921774
"T-lineage candidate","Immaturity","SOX4",2.08727416440273,94.1222326161522,12828,1.96539034114014
"T-lineage candidate","Myeloid","FCN1",0.00655437146480941,0.904271905207359,12828,-0.408269545930382
"T-lineage candidate","Myeloid","LST1",0.634307669757364,60.5004677268475,12828,0.19930798148788
"T-lineage candidate","Myeloid","LYZ",0.0120577291001082,1.68381665107577,12828,-0.426479052806133
"T-lineage candidate","T lineage","CD3D",1.70412888073067,93.5999376364203,12828,1.83109289364313
"T-lineage candidate","T lineage","CD3E",1.71137193551014,93.9351418771438,12828,1.57955184479492
"T-lineage candidate","T lineage","CD5",0.264250671989728,34.1830371063299,12828,1.96317051661157
"T-lineage candidate","T lineage","CD7",1.76151439847196,93.3582787652011,12828,1.07945745828748
"T-lineage candidate","T lineage","TRAC",0.299091553523843,25.4989086373558,12828,1.61234493245554
"T-lineage candidate","pDC","CLEC4C",0.000172277641141034,0.0233863423760524,12828,-0.413104962253961
"T-lineage candidate","pDC","LILRA4",7.38104613083942e-05,0.0155908949173683,12828,-0.41869213580095
"T-lineage candidate","pDC","TCF4",0.062448331720468,9.44808231992517,12828,-0.607566118513381
"pDC","B cell","CD79A",0.113437633129773,18.5185185185185,27,-0.439464081733389
"pDC","B cell","CD79B",0.0323492316343885,7.40740740740741,27,-0.46784814342369
"pDC","B cell","MS4A1",0,0,27,-0.415073789592586
"pDC","Cell cycle","MKI67",0.238652817826007,14.8148148148148,27,0.266158760530415
