"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes"
"Metabolic pathways",1.12671584674228,0.0625705601389492,0.230077163844261,"Up",948,"ACAA2;ODC1;LDHA;PANK2;CTPS1;PDXP;UXS1;SRM;NME1;KDSR;GALNT12;FUT7;SGSH;ACOT7;PAICS;PGAM1;FH;GALNT4;EBP;COX5A;LAP3;CHSY1;ENO1;GCSH;HACD3;GCH1;PKM;GALNT3;NDUFC2;ALG3;ATP5F1B;HPRT1;GPX7;UQCRHL;CHKA;ISYNA1;SGMS1;PGK1;PCCB;NDUFA6;PPAT;PANK1;AKR1C1;GCLM;NDUFAB1;PDHX;HK1;NDUFA9;SMS;GLCE;TYMS;AMPD2;NDUFA12;FAHD1;TXNDC12;CHPT1;IDUA;ALDOA;RDH13;LIPC;NME2;CERS4;CYC1;ALDH18A1;UAP1;B4GALT5;DOLPP1;PFKP;UQCRH;B3GNT2;GPX4;ST3GAL5;PLCH2;TKTL1;CISD1;B4GALT6;DLST;GGCT;MGAT1;NT5E;IMPA2;UPP1;ALDH9A1;DGKD;ZNF408;ACY1;EZH2;AASDHPPT;DSEL;GNPDA2;SPTLC1;CYP51A1;ALDH1A2;PTDSS2;GART;MOCS2;FAH;CD38;MIF;COX6A1;CAD;FASN;ACAT2;STT3B;PGAP1;COX7A2L;COX8A;EPHX2;DCTD;MTHFD2;COX6C;GYG1;MTHFD1L;NDUFV2;STT3A;MDH2;UCK2;GOT2;KMT5A;ACOT8;HDDC2;GLA;SIRT6;LDHB;MTMR2;AHCY;UGDH;ALDH5A1;GPI;PI4K2B;SRD5A3;DCTPP1;AFMID;GPAA1;CHST10;RPN2;GPHN;ITPK1;IMPDH1;DDOST;ATP5PF;SACM1L;PGD;GLUD1;LPIN2;ADCY7;NAMPT;ST3GAL4;COX4I1;CRLS1;PHGDH;GAPDH;PDHA1;NEU1;ADSL;NUDT9;PMM2;CA8;DGKQ;GALNT6;MTMR14;HLCS;ADO;GUCY1B1;GALNS;PRPS1;ATP6V0A4;ACSL5;ATP6V0D1;PTGES3;PPT1;GALNT1;ATP5MC1;IDI1;ATP6V0C;NDUFB7;OGDH;SQLE;KMT5C;DEGS1;GNPNAT1;SEPHS1;PIGH;EHMT1;ATP6V1A;VKORC1;GNS;MTHFD1;NDUFB6;ACP1;GALNT7;ATP5F1C;IDS;COLGALT1;ATP5MG;B3GALT6;PTGES2;TPI1;NDUFB9;PTDSS1;AZIN2;SUCLG2;ATP5MC3;RFK;PDE4B;NT5C3A;DHCR7;ATP5F1A;PGM2;ATP6V0E1;DTYMK;DHCR24;ALG12;ADK;NFS1;ALG1;PIK3CB;DUT;SMPD2;NDUFS3;CMPK2;ATIC;SCLY;PGAP2;CYP2U1;COX7B;L2HGDH;PGM1;AK6;TIGAR;GSTO1;GUK1;C11orf54;B3GALNT2;SDHB;COX17;PLA2G12A;PDE6G;DNMT3A;GFPT1;SMYD2;DNMT1;RXYLT1;ATP5F1E;PNPO;ACACA"
"Morphine addiction",1.41703394359031,0.0611002043351096,0.230077163844261,"Up",31,"GNG4;GRK6;PRKCA;GNB1;SLC32A1;GNG5;GNAS;ARRB1;ADCY7;GNG2;GRK2;GNAI2;PDE4B;GNG10"
"Asthma",-1.49017442191314,0.0623565878990379,0.230077163844261,"Down",10,"TNF;HLA-DRB5;HLA-DMA;HLA-DRA"
"Alcoholism",1.34407515292605,0.0632644795463751,0.230230528658458,"Up",64,"FOSB;SLC18A2;GNG4;PPP1CC;CALM1;GRB2;GNB1;GNG5;ATF4;HDAC2;GNAS;CREB3L3;NRAS;PKIA;CAMKK2;MAPK3;MAP2K1;HDAC1;HDAC3;HDAC9;CALM3;GNG2;GNAI2;GNG10;PPP1CB;MAPK1"
"Biosynthesis of amino acids",1.37139750864062,0.0652804642166344,0.23044003868472,"Up",44,"PGAM1;ENO1;PKM;PGK1;ALDOA;ALDH18A1;PFKP;TKTL1;ACY1;GOT2;PHGDH;GAPDH;PRPS1;TPI1;PYCR1;IDH3B;BCAT1;RPIA;MAT2A;IDH2;PRPS2;MAT2B;ACO2"
"Ferroptosis",1.40586449292151,0.0649865779879002,0.23044003868472,"Up",31,"SLC3A2;SLC40A1;FTL;GCLM;TFRC;GPX4;NCOA4;PRNP;SLC39A8;VDAC2;ACSL5;FTH1"
"Breast cancer",1.32453699951618,0.0650805895010353,0.23044003868472,"Up",75,"MYC;GADD45B;FOS;BRCA2;CDK4;BAX;PIK3R3;NFKB2;E2F1;GRB2;FGF9;RPS6KB1;AKT1;DDB2;NRAS;E2F3;MAPK3;MAP2K1;FRAT2"
"Neuroactive ligand signaling",1.38448230782582,0.0674324270051006,0.233369085615691,"Up",35,"P2RY11;SLC18A2;GNG4;PRKCA;OGFRL1;OGFR;GNB1;SLC32A1;GNG5;GNAS;ADCY7;GNG2;GNAI2;GNG10"
"Small cell lung cancer",1.34077784079859,0.0671532846715329,0.233369085615691,"Up",60,"MYC;GADD45B;RELA;TRAF3;CDK4;ITGB1;BAX;PIK3R3;TRAF4;E2F1;NFKB1;AKT1;DDB2;IKBKG"
"Ovarian steroidogenesis",-1.47318290936091,0.0691604522492182,0.233857546392186,"Down",11,"ALOX5;INSR;LDLR;HSD17B7"
"Prolactin signaling pathway",1.35879561971733,0.0694081197440953,0.233857546392186,"Up",47,"FOS;STAT5A;IRF1;RELA;SOCS6;STAT3;MAPK9;PIK3R3;GRB2;NFKB1;AKT1"
"Amphetamine addiction",1.37890271776152,0.0695610265472509,0.233857546392186,"Up",35,"FOS;FOSB;SLC18A2;PRKCA;PPP1CC;CALM1;PPP3R1;ATF4;HDAC2;GNAS;CREB3L3"
"MAPK signaling pathway",1.23769449088127,0.0739064236039669,0.243822126469162,"Up",169,"MYC;GADD45B;FOS;TGFB1;PTPN7;RELA;NFATC3;DUSP6;MAPK9;RASGRP1;FLT1;MAP2K3;PRKCA;TGFBR1;FLT3LG;PPP3R1;RPS6KA5;NFKB2;ELK1;RAP1A;RASA2;GRB2;RELB;FGF9;NFKB1;ATF4;AKT1;IKBKG;ARRB1;MYD88;RRAS2;NRAS;MAPK3;RAP1B;MAP2K1;MAP3K7;MAP4K4;RPS6KA3;IL1B;RAC1;MAP3K3;MAPKAPK3;MAP3K2;FLNA"
