"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes","Dataset"
"Sphingolipid signaling pathway",1.59671257138694,0.00226420272619157,0.00870847202381371,"Up",103,"Cers5;Adora3;Tnf;Bax;Fcer1a;Smpd1;Prkce;Sptlc1;Mapk13;Ms4a2;Prkcz;Ctsd;Cers4;Pld1;Sgms1;Tradd;Hras;Degs1;Asah1;Traf2;Bcl2;Map2k2;Prkcg;Cers2;Gab2;Rac2;Fyn;Sgpl1;Nfkb1;Map3k5;Pik3cb;Pik3r2;Acer2;Pld2;Sptlc2;S1pr1;Nsmaf;Sgms2;Rela;S1pr3;Mapk3;Fcer1g","bulk_STAT5B"
"Collecting duct acid secretion",1.77958439635597,0.00251299331772231,0.0095430125989455,"Up",17,"Atp6v0a1;Atp6v0e;Atp6v1b2;Atp6v1f;Atp6v1e1;Atp6v0d1;Atp6v1g1;Atp6v0d2;Atp6v1c1;Atp6v1g2","bulk_STAT5B"
"Systemic lupus erythematosus",1.73063741240782,0.00259794788359094,0.00974230456346603,"Up",35,"C7;H2-Oa;Tnf;H2-DMb2;Cd80;Hc;C1qa;H2-Eb1;C1qc;C3;H2-Aa;Cd40;Cd86;H2-Ab1;H2-DMb1","bulk_STAT5B"
"AGE-RAGE signaling pathway in diabetic complications",1.61100202085045,0.00266937541339885,0.00988657560518092,"Up",81,"Col4a1;Col4a2;Tnf;Pim1;Bax;Prkce;Mapk13;Egr1;Prkcz;Il1b;Il6;Hras;Ccnd1;Plcg2;Tgfbr2;Foxo1;Icam1;Cybb;Mgmt;Vcam1;Bcl2;Col3a1;Nfkb1;Pik3cb;Pik3r2;Nox1;Jak2;Cdc42;Tgfb1;Ager;Mmp2;Rela;Mapk3;Stat5b;Diaph1;Plce1","bulk_STAT5B"
"Thyroid cancer",1.72611040211673,0.00286036686173144,0.0103386754038486,"Up",35,"Ret;Gadd45g;Gadd45b;Bax;Rxrg;Gadd45a;Tpm3;Hras;Rxra;Pparg;Ccnd1","bulk_STAT5B"
"cAMP signaling pathway",1.53872737167918,0.00283405291708181,0.0103386754038486,"Up",135,"Cacna1d;Tnni3;Ffar2;Creb3;Gria2;Ryr2;Adcy4;F2r;Rras;Camk4;Adcy1;Adrb1;Rap1b;Nfkbia;Orai1;Fos;Creb5;Grin2d;Pld1;Arap3;Pde4c;Ptger2;Lipe;Vipr2;Cacna1s;Glp1r;Hcn4;Acox3;Calm1;Hcn2;Atp2b1;Creb3l1;Map2k2;Rapgef4;Rac2;Nfkb1;Pik3cb;Pik3r2;Rap1a;Camk2d;Pld2;Cnga1;Npr1;Vav1;Gabbr2;Pde4a;Adcy7;Htr1b;Rela;Adcy3;Ppp1cc;Mapk3;Adcy9;Atp1b2;Plce1;Tiam1;Bad;Map2k1;Calm2;Ghrl;Camk2a;Gabbr1;Slc9a1;Prkaca;Raf1;Fxyd2","bulk_STAT5B"
"DNA replication",-1.79245486876474,0.00300262897594966,0.0105193312942014,"Down",35,"Rfc4;Mcm6;Pole2;Pola1;Rfc5;Mcm2;Pole;Pold2;Prim1;Rfc1;Pola2;Mcm7;Mcm4;Mcm3;Pold1;Pcna","bulk_STAT5B"
"MAPK signaling pathway",1.45694927810417,0.00301554163767107,0.0105193312942014,"Up",221,"Cacna1d;Arrb2;Gadd45g;Tnf;Gadd45b;Kdr;Il1r1;Cacnb3;Dusp6;Flt3l;Mapkapk3;Jund;Mapk13;Cacng4;Pla2g4f;Relb;Nr4a1;Rras;Pgf;Fgf2;Il1b;Ikbkb;Rap1b;Gadd45a;Igf1;Flnc;Fos;Myd88;Ppp3ca;Rasgrp4;Tradd;Dusp5;Hras;Atf4;Flt3;Csf1r;Irak4;Ppm1b;Cacna1s;Ddit3;Ptpn7;Dusp1;Map3k4;Rps6ka1;Csf1;Arrb1;Lamtor3;Tgfbr2;Mras;Rasgrp3;Mapk8ip1;Hspa1b;Flna;Igf2;Map2k3;Hspa1a;Traf2;Dusp3;Kit;Map2k2;Prkcg;Fgfr3;Rac2;Cacna1e;Nfkb1;Map3k5;Fas","bulk_STAT5B"
"Viral carcinogenesis",1.50499491733312,0.0030056653548415,0.0105193312942014,"Up",167,"Gsn;Cdkn2b;Cdkn2a;Ccr4;Traf1;H2-Q10;Creb3;Bax;Sp100;H2-Q6;H2-K1;Lyn;Polb;Ccnd3;Hpn;H2-M2;Nfkbia;Ccr3;Creb5;Src;C3;Ywhaq;H2-M3;Egr3;Tradd;Hras;Atf4;Pkm;H2-Q7;Ywhaz;Ccnd1;H2-D1;Traf5;Gtf2a2;Atp6v0d1;Atp6v0d2;Rbl2;Traf2;Creb3l1;H2-Q4;Hdac5;Egr2;Scrib;Nfkb1;Pik3cb;Ccnd2;Pik3r2;H2-T22;H2-Q2;Cdc42;H2-T23;Rbpj;Casp8;Vdac3;Psmc1;Ywhab;Rela;Hdac1;Jak3;Mapkapk2;Mapk3;H2-Q1;Mdm2;H2-T-ps;Stat5b;Gtf2h1;Hnrnpk;Bad;Dlg1;Gtf2b;Cdkn1a;Hdac10;H2-T10","bulk_STAT5B"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)",1.66887957469903,0.00342181406466222,0.0117993588436628,"Up",49,"Actb;Cacna1d;Actn2;Itgb5;Itgb7;Ryr2;Cacnb3;Cacng4;Itga3;Itgb3;Sgca;Ctnna1","bulk_STAT5B"
"B cell receptor signaling pathway",1.61006416263374,0.00414357986027463,0.0141258404327544,"Up",68,"Ifitm1;Cd19;Inppl1;Lyn;Ikbkb;Nfkbia;Bcl10;Cd79a;Inpp5d;Fos;Blnk;Ppp3ca;Hras;Pirb;Plcg2;Cd72;Card11;Rasgrp3;Map2k2;Rac2;Cd81;Nfkb1;Pik3ap1;Nfkbib;Pik3cb;Pik3r2","bulk_STAT5B"
"Amyotrophic lateral sclerosis (ALS)",1.68678452185815,0.00422658625844029,0.0142469199722706,"Up",40,"Gpx1;Tnf;Bax;Gria2;Mapk13;Casp12;Casp1;Grin2d;Ppp3ca;Derl1;Bcl2l1;Map2k3;Bcl2;Sod1;Map3k5;Cycs","bulk_STAT5B"
"Human immunodeficiency virus 1 infection",1.4666532293284,0.00436108962791097,0.0145369654263699,"Up",180,"Tnf;H2-Q10;Ptk2;Bax;H2-Q6;H2-K1;Mapk13;Gng2;H2-M2;Ikbkb;Nfkbia;Gnb5;Ptk2b;Fos;Tlr2;H2-M3;Myd88;Ap1s2;Ppp3ca;Samhd1;Tradd;Hras;H2-Q7;Irak4;Plcg2;H2-D1;Traf5;Apobec3;Tap1;Pdia3;Calm1;Gnao1;Bcl2l1;Map2k3;B2m;Traf2;Gnb1;Eloc;Bcl2;H2-Q4;Map2k2;Prkcg;Rac2;Tapbp;Rbx1;Elob;Bst2;Nfkb1;Gnb2;Fas;Cycs;Pik3cb;Pik3r2;Pak6;H2-T22;H2-Q2;Ap1s1;H2-T23;Ap1m2;Calr;Ppp3cc;Casp8;Gngt2;Ap1b1;Tap2;Rela;Mapk3;Tnfrsf1b;Nfatc2;H2-Q1;H2-T-ps;Ripk1;Ap1g2;Bad;Gng5;Map2k1;Calm2;Gnaq;H2-T10;Fadd;Cfl1","bulk_STAT5B"
"p53 signaling pathway",1.60975498605947,0.00452477680200452,0.0149168466000149,"Up",64,"Gadd45g;Cdkn2a;Gadd45b;Bax;Zmat3;Ccnd3;Rchy1;Perp;Bbc3;Aifm2;Gadd45a;Igf1;Ppm1d;Sesn2;Ei24;Ccnd1;Shisa5;Siah1a;Bcl2l1;Bcl2;Cd82;Fas;Cycs;Ccnd2","bulk_STAT5B"
"Proteoglycans in cancer",1.47196767904851,0.00494426855184976,0.0161226148429884,"Up",164,"Actb;Sdc4;Itgb5;Hbegf;Fzd6;Plaur;Timp3;Cd63;Tnf;Ank1;Arhgef12;Ptk2;Kdr;Mapk13;Rras;Fgf2;Sdc2;Itgb3;Igf1;Flnc;Src;Tlr2;Pdcd4;Hras;Sdc1;Hcls1;Ank2;Ccnd1;Plcg2;Ppp1r12c;Mmp9;Wnt10b;Mras;Fzd10;Flna;Igf2;Dcn;Itgav;Msn;Plau;Map2k2;Prkcg","bulk_STAT5B"
"Cell cycle",-1.45249033234246,0.00541021558931898,0.0174523083526419,"Down",118,"Tgfb3;Tfdp2;Pkmyt1;Wee1;Myc;Cdc26;Mad1l1;Mcm6;Cdc27;E2f4;Cdc20;Abl1;Smc3;Skp2;Crebbp;Rbl1;Ccnb1;Plk1;Cdk2;Bub1b;E2f3;Stag1;Orc3;Mcm2;Anapc1;Ccna2;Ccnb2;Cdc25c;Cdk6;Chek1;Atr;Cdc7;Mad2l1;Mcm7;Cdk1;Mcm4;Stag2;Prkdc;Cdc25b;Mcm3;Dbf4;Smc1a;Pcna;Cdc23;Bub1;Ccne2;Cdc6;Cdc45;Espl1;Gsk3b;Atm;Ttk;Ccnh","bulk_STAT5B"
"Axon guidance",1.48509147868411,0.0065814257539832,0.0210045502786698,"Up",134,"Enah;Ablim3;Myl12b;Rhod;Dpysl2;Arhgef12;Ptk2;Rnd1;Plxnb3;Rras;Prkcz;Bmp7;Sema4f;Plxnc1;Sema3b;Unc5a;Src;Ppp3ca;Hras;Neo1;Plxnb2;Plcg2;Srgap1;Sema7a;Unc5b;Sema4b;Plxnb1;Ryk;Sema6a;Plxna4;Sema5a;Nrp1;Rac2;Fyn;Pik3cb;Sema6d;Sema4a;Pik3r2;Pak6;Camk2d;Sema6c;Cdc42;Fes;Epha2;Ppp3cc;Cdk5;Plxna1;Rgs3;Sema4d;Pard3;L1cam;Ablim1;Mapk3;Nfatc2;Epha1","bulk_STAT5B"
"Primary immunodeficiency",1.65421437649029,0.00723527858463163,0.0228482481619946,"Up",33,"Cd8a;Zap70;Cd8b1;Cd19;Icos;Orai1;Cd79a;Blnk;Cd40;Il2rg;Tap1;Ciita","bulk_STAT5B"
"Amphetamine addiction",1.61379380215306,0.0079741981359677,0.0249193691748991,"Up",45,"Cacna1d;Ddc;Stx1a;Creb3;Gria2;Camk4;Fos;Creb5;Grin2d;Slc18a2;Ppp3ca;Atf4;Calm1;Fosb;Creb3l1;Prkcg","bulk_STAT5B"
"Intestinal immune network for IgA production",1.63855800275853,0.0082131199326103,0.0254014018534339,"Up",34,"H2-Oa;H2-DMb2;Cd80;Itgb7;Icos;Il4;Tnfsf13b;H2-Eb1;H2-Aa;Il6;Cd40;Cd86;H2-Ab1;H2-DMb1;Il5;Ccr9;Ccl25;Il15ra;Icosl;Tgfb1","bulk_STAT5B"
"Aldosterone synthesis and secretion",1.54795137269338,0.00925078294386895,0.028233910102446,"Up",68,"Cacna1d;Cyp11a1;Dagla;Creb3;Prkce;Adcy4;Nr4a1;Camk4;Adcy1;Prkd2;Orai1;Creb5;Atf4;Lipe;Cacna1s;Calm1;Daglb;Mgmt;Atp2b1;Creb3l1;Prkcg","bulk_STAT5B"
"Cholinergic synapse",1.5311203623334,0.00937135789548795,0.028233910102446,"Up",75,"Cacna1d;Creb3;Adcy4;Gng2;Camk4;Adcy1;Gnb5;Fos;Creb5;Hras;Atf4;Cacna1s;Gnao1;Gnb1;Bcl2;Creb3l1;Prkcg;Fyn;Gnb2;Pik3cb;Pik3r2;Jak2;Kcnj2;Camk2d;Chrm3;Cacna1a;Gngt2;Adcy7;Adcy3;Mapk3;Adcy9;Gng5;Map2k1;Gnaq;Camk2a","bulk_STAT5B"
"Mitophagy",1.55764616223599,0.00941130336748199,0.028233910102446,"Up",60,"Gabarap;Optn;Gabarapl2;Rras;Csnk2b;Tfeb;Fis1;Rab7b;Src;Hras;Atf4;Cited2;Mras;Bcl2l1;Sqstm1;Becn1;Ubb;Bnip3;Rab7;Atg5;Tomm7;Bnip3l;Csnk2a2;Rela;Mfn2;Pgam5;Csnk2a1;Tfe3","bulk_STAT5B"
"Adipocytokine signaling pathway",1.56062704749505,0.00963034298836951,0.0286049791733748,"Up",57,"Prkag1;Irs4;Tnf;Acsbg1;Ikbkb;Nfkbia;Rxrg;Cd36;Slc2a1;Prkcq;Tradd;Rxra;Adipor1;Prkaa1;Leprot;Acsl5;Traf2;Nfkb1;Nfkbib;Jak2;Prkab1;Acsl4;Rela;Tnfrsf1b;G6pc3;Socs3;Stk11;Irs2;Chuk;Ppargc1a;Akt2;Acsl3;Pomc;Acsl1","bulk_STAT5B"
"Morphine addiction",1.57349929406946,0.0101295583012356,0.0297928185330458,"Up",51,"Arrb2;Pde8a;Adcy4;Gng2;Adcy1;Gnb5;Pde4c;Pde7b;Pde7a;Pde1c;Arrb1;Gnao1;Gnb1;Prkcg;Gnb2;Gabre;Cacna1a;Gabbr2;Pde4a;Gngt2;Adcy7;Grk5;Adcy3;Pde1b;Adcy9;Gng5;Gabbr1;Prkaca;Pde11a","bulk_STAT5B"
"Cytosolic DNA-sensing pathway",1.59561621606007,0.0105701228074655,0.0307867654586373,"Up",43,"Il1b;Casp1;Polr3gl;Ikbkb;Nfkbia;Il6;Cxcl10;Polr1d;Polr2f;Polr1c;Ikbke;Polr3c;Nfkb1;Nfkbib;Ccl4;Il18;Polr2e;Polr2h;Rela;Polr2l","bulk_STAT5B"
"Insulin secretion",1.55245486624043,0.0111454343259607,0.0321502913248867,"Up",56,"Cacna1d;Kcnmb4;Stx1a;Creb3;Ryr2;Adcy4;Adcy1;Slc2a1;Creb5;Atf4;Trpm4;Cacna1s;Glp1r;Creb3l1;Prkcg;Rapgef4;Camk2d;Kcnn4;Chrm3;Adcy7;Adcy3;Abcc8;Adcy9;Atp1b2;Gnaq;Rab3a;Camk2a;Kcnu1;Map4k2;Prkaca;Fxyd2","bulk_STAT5B"
"One carbon pool by folate",-1.73508621967652,0.0120128136679124,0.0341077907247021,"Down",17,"Shmt1;Amt;Mthfd1;Mtr;Gart;Dhfr;Tyms;Shmt2","bulk_STAT5B"
"Serotonergic synapse",1.53586973058969,0.0120514193893948,0.0341077907247021,"Up",63,"Cacna1d;Ddc;Tph1;Alox5;Alox15;Htr7;Pla2g4f;Gng2;Gnb5;Alox12e;Slc18a2;Hras;Ptgs1;Cacna1s;Dusp1;Gnao1;Gnb1;Prkcg;App;Gnb2","bulk_STAT5B"
"Other glycan degradation",1.64644852407709,0.0123866981434525,0.0347177482855875,"Up",14,"Hexa;Fuca1;Glb1;Man2b1;Fuca2;Manba;Aga","bulk_STAT5B"
"Taurine and hypotaurine metabolism",1.60242641606948,0.0124983893828115,0.0347177482855875,"Up",6,"Ggt5;Ggt1;Ggt7;Cdo1","bulk_STAT5B"
"Mismatch repair",-1.6836373323498,0.0140310687951893,0.0386176205372184,"Down",22,"Rfc4;Exo1;Rfc5;Pold2;Pms2;Rfc1;Mlh3;Pold1;Pcna","bulk_STAT5B"
"Cortisol synthesis and secretion",1.55966806663579,0.0159515810530095,0.0435043119627532,"Up",41,"Cacna1d;Cyp11a1;Pde8a;Creb3;Adcy4;Nr4a1;Adcy1;Orai1;Creb5;Atf4;Cacna1s;Mgmt;Creb3l1","bulk_STAT5B"
"GABAergic synapse",1.52114524035234,0.0173578110149567,0.0469130027431263,"Up",51,"Cacna1d;Gabarap;Slc6a13;Adcy4;Gng2;Gabarapl2;Adcy1;Gnb5;Src;Cacna1s;Plcl1;Gnao1;Gnb1;Prkcg;Slc12a5;Gnb2;Gabre;Cacna1a;Gabbr2;Gngt2;Adcy7;Adcy3;Nsf;Adcy9;Glul;Gng5;Gabbr1;Prkaca","bulk_STAT5B"
"Influenza A",1.41000556045624,0.0183140437231165,0.0489033450503151,"Up",133,"Actb;Ifngr2;H2-Oa;Tnf;H2-DMb2;Mapk13;Il1b;Casp1;Ifngr1;Ikbkb;Nfkbia;H2-Eb1;H2-Aa;Il6;Cxcl10;Myd88;Furin;Tmprss4;Irak4;H2-Ab1;Ciita;H2-DMb1;Ikbke;Icam1;Hspa1b;Map2k3;Oas1g;Hspa1a;Map2k2;Dnajb1;Oas3;Nfkb1;Fas;Cycs;Nfkbib;Ifnar2;Pik3cb;Pik3r2;Jak2;Il18","bulk_STAT5B"
"Natural killer cell mediated cytotoxicity",1.44859888567011,0.018420259968952,0.0489033450503151,"Up",94,"Gzmb;Ifngr2;Tnf;Zap70;Csf2;H2-K1;Ifngr1;Itgb2;Ptk2b;Ppp3ca;Hcst;Hras;Plcg2;H2-D1;Icam1;Map2k2;Prkcg;Rac2;Fyn;Prf1;Fas;Ifnar2;Pik3cb;Pik3r2;Lcp2;Vav1;H2-T23;Ppp3cc;Mapk3;Lat;Nfatc2;Fcer1g","bulk_STAT5B"
"Ribosome",2.78854566712617,6.71946222487357e-23,2.37197016538037e-20,"Up",166,"RPL39L;MRPS18A;RPL30;MRPL54;MRPL15;AURKAIP1;RPL21;RPL26L1;RPS4Y1;UBA52;RPS16;RPS13;RPL8;MRPL33;RPS27;RPL7;RPS15A;MRPS23;RPL23A;RPS27A;RPLP2;RPLP1;RPL37;RPS7;RPS28;RPL35A;RPS20;RPL27;RPS6;RPL38;MRPL43;RPS29;RPL18A;RPL36AL;RPL39;RPL17;RPL36;RPL11;RPS24;RPL9;RPS3A;RPL19;RPS4X;FAU;MRPL47;RPS25;RPL32;RPL27A;RPS19;RPS3;RPL22;RPS14;RPL24;MRPL58;RPL5;RPL18;MRPS2;RPS17;RPL37A;RPS12;RPL35;RPL34;MRPS7;RPS9;RPL13A;MRPS6;RPL3;RPS23;MRPL21;RPL23;RPL29;MRPL13;RPL14;RPS18;RPL12;RPL15;MRPL17;RPS2;RPL4;RPL6;RPL13;RPS21;MRPL36;GADD45GIP1;RPL10;RPS26;RPL7A;RPS15;RPLP0;MRPL41;RPS5;RPL41;RPL10A;RPL31;MRPL40;MRPS30;RPL36A;MRPS17;MRPS15;RPS8;MRPL20;MRPL50;MRPL27","scRNAseq_within15"
"Coronavirus disease",2.80069167867997,1.01451938277372e-21,1.79062671059562e-19,"Up",147,"FOS;RPL39L;RPL30;STAT3;RPL21;RELA;RPL26L1;RPS4Y1;PRKCA;UBA52;RPS16;RPS13;RPL8;RPS27;RPL7;RPS15A;RPL23A;RPS27A;RPLP2;RPLP1;RPL37;MYD88;RPS7;RPS28;RPL35A;TRAF3;RPS20;RPL27;OAS3;RPS6;RPL38;RPS29;RPL18A;RPL36AL;IL1B;RPL39;RPL17;RPL36;RPL11;RPS24;RPL9;RPS3A;RPL19;RPS4X;FAU;RPS25;RPL32;RPL27A;RPS19;RPS3;RPL22;RPS14;RPL24;RPL5;RPL18;RPS17;RPL37A;RPS12;RPL35;RPL34;CASP1;RPS9;RPL13A;NFKBIB;RPL3;RPS23;RPL23;RPL29;OAS2;RPL14;IRAK1;RPS18;RPL12;RPL15;RPS2;JAK1;RPL4;RPL6;RPL13;RPS21;IRF9;NFKB1;RPL10;RPS26;PIK3R3;RPL7A;RPS15;RPLP0;RPS5;RPL41;MAPK9;RPL10A;RPL31;RPL36A","scRNAseq_within15"
"Parkinson disease",2.22834006320543,1.15714016164059e-11,1.36156825686376e-09,"Up",199,"CALM1;NDUFAB1;TUBA4A;SLC39A4;COX7A2L;ADRM1;ATP5F1B;COX5A;NDUFA6;VDAC1;UQCRH;PSMB1;COX4I1;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;UBA52;NDUFC2;NDUFV2;GNAS;NDUFA12;COX7A2;SLC25A5;COX7B;RPS27A;ATP5PF;TXN2;UBC;NDUFB9;UBE2L6;PSMB3;TUBB2A;BAX;UQCRB;CYC1;SLC18A2;PSMA7;PSMD12;VDAC2;ATP5F1C;UQCR11;COX8A;SLC39A3;UBE2J2;KIF5B;CALM3;PSMD7;PSMB7;PARK7;SLC25A6;ATP5PB;ATP5F1A;DUSP1;NDUFA2;NDUFB11;NDUFA9;PSMD8;NDUFB2;PSMC3;NDUFS4;NDUFS3;PRKACA;SOD1;PSMC4;NDUFA1;SDHB;ATP5MC3;MAPK9;SLC39A13;PSMC5;UQCR10;UBB;SEM1;MFN2;PSMA4;XBP1;UQCRHL;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;SLC39A8;TXN;UBA7;UBE2L3;HTRA2;GNAI2;PSMC1;TUBA1B;CAMK2D;NDUFS5;ATF4;PSMD6;COX7C;PSMA3;COX5B;NDUFB3;UQCRFS1;NDUFA7;NDUFS6;ATP5PD;NDUFB6;KEAP1;UQCRQ","scRNAseq_within15"
"Oxidative phosphorylation",2.38066145734668,1.23871807156662e-10,1.09316869815754e-08,"Up",102,"NDUFAB1;COX7A2L;ATP5F1B;COX5A;NDUFA6;UQCRH;ATP6V0A4;COX4I1;COX6C;COX6A1;NDUFB7;ATP5F1E;NDUFC2;NDUFV2;ATP5MG;NDUFA12;ATP6V0C;COX7A2;COX7B;ATP5PF;NDUFB9;ATP6V1G1;UQCRB;CYC1;ATP5F1C;UQCR11;COX8A;ATP6V0D1;ATP5PB;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;ATP6V0E1;NDUFB2;NDUFS4;NDUFS3;ATP6V1F;NDUFA1;SDHB;ATP5MC3;UQCR10;ATP5ME;UQCRHL;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;COX17;PPA1;ATP5MF;NDUFS5;COX7C;COX5B;NDUFB3;UQCRFS1;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ","scRNAseq_within15"
"Chemical carcinogenesis - reactive oxygen species",2.17036917112854,1.94646150830533e-09,1.37420182486356e-07,"Up",153,"FOS;NCF1;NDUFAB1;COX7A2L;ATP5F1B;COX5A;NDUFA6;CYBA;AKR1C1;VDAC1;RELA;UQCRH;EPHX2;COX4I1;COX6C;GSTO1;COX6A1;NDUFB7;ATP5F1E;NDUFC2;NDUFV2;RAC1;NDUFA12;COX7A2;SLC25A5;COX7B;ATP5PF;NDUFB9;PTPRJ;UQCRB;CYC1;VDAC2;ATP5F1C;SOD2;UQCR11;COX8A;PRKD2;SLC25A6;ATP5PB;MAP2K1;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;NDUFB2;NDUFS4;NDUFS3;SOD1;NFKB1;GRB2;PIK3R3;NDUFA1;SDHB;ATP5MC3;MAPK9;UQCR10;ACP1;UQCRHL;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;AKR1C3;KRAS;CHUK;NDUFS5;COX7C;COX5B;NDUFB3;MGST3;UQCRFS1;CBR1;NRAS;NDUFA7;NDUFS6;ATP5PD;NDUFB6;KEAP1;UQCRQ","scRNAseq_within15"
"Prion disease",2.04760232657734,1.33620266338888e-08,7.86132566960456e-07,"Up",189,"NCF1;NDUFAB1;EGR1;TUBA4A;STIP1;COX7A2L;ADRM1;ATP5F1B;COX5A;NDUFA6;CYBA;VDAC1;UQCRH;PSMB1;COX4I1;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;NDUFC2;NDUFV2;RAC1;NDUFA12;COX7A2;SLC25A5;COX7B;ATP5PF;NDUFB9;CCL5;PSMB3;TUBB2A;BAX;UQCRB;IL1B;CYC1;PSMA7;PSMD12;PRNP;VDAC2;ATP5F1C;UQCR11;COX8A;PPP3R1;KIF5B;PSMD7;PSMB7;SLC25A6;ATP5PB;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;PSMD8;NDUFB2;PSMC3;NDUFS4;NDUFS3;PRKACA;SOD1;PSMC4;PIK3R3;NDUFA1;SDHB;ATP5MC3;MAPK9;PSMC5;UQCR10;SEM1;PSMA4;UQCRHL;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;RAC2;CSNK2B;PSMC1;TUBA1B;NDUFS5;ATF4;PSMD6;CSNK2A1;COX7C;PSMA3;COX5B;CREB3L3;NDUFB3;UQCRFS1;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ","scRNAseq_within15"
"Pathways of neurodegeneration - multiple diseases",1.82902586281934,8.05002040853385e-08,4.05951029173207e-06,"Up",307,"CALM1;NDUFAB1;TUBA4A;COX7A2L;ADRM1;OPTN;ATP5F1B;COX5A;NDUFA6;VDAC1;TOMM40;RELA;UQCRH;PSMB1;COX4I1;FRAT2;PRKCA;GPX7;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;UBA52;NDUFC2;NDUFV2;RAC1;NDUFA12;MAP2K3;CHMP2B;COX7A2;WDR41;DERL1;SLC25A5;COX7B;RPS27A;ATP5PF;UBC;NDUFB9;UBE2L6;PSMB3;TUBB2A;BAX;UQCRB;IL1B;BID;CYC1;PSMA7;PSMD12;PRNP;VDAC2;ATP5F1C;UQCR11;COX8A;UBE2J2;PPP3R1;KIF5B;CALM3;PSMD7;PSMB7;PARK7;SLC25A6;ATP5PB;MAP2K1;ATP5F1A;NDUFA2;RAB8A;NDUFB11;TANK;RAB5A;NDUFA9;PSMD8;AGER;ATP2A2;NDUFB2;PSMC3;NDUFS4;CAPN2;NDUFS3;SOD1;FAS;NFKB1;PSMC4;TNFRSF1B;NDUFA1;SDHB;NRBF2;MAP1LC3B;ATP5MC3;MAPK9;PSMC5;UQCR10;UBB;SEM1;FZD6;MFN2;PSMA4;XBP1;UQCRHL;BECN1;ATP5MC1;ATP5MC2;COX6B1;AXIN1;NDUFB4;CSNK2B;UBA7;UBE2L3;KRAS;HTRA2;ATXN1L;PSMC1;ATG101;TUBA1B;CAMK2D;NDUFS5;ATF4;PSMD6;CSNK2A1;COX7C;PSMA3;CASP7;COX5B;ULK2;NDUFB3;PLCB4;BCL2;UQCRFS1;NRAS;NDUFA7;NDUFS6;ATP5PD;NDUFB6;UQCRQ;SPTBN2","scRNAseq_within15"
"Huntington disease",1.92269031494192,1.18837375282236e-07,5.24369918432866e-06,"Up",222,"NDUFAB1;TUBA4A;CLTB;COX7A2L;ADRM1;POLR2D;TAF4B;ATP5F1B;COX5A;NDUFA6;BBC3;VDAC1;UQCRH;PSMB1;COX4I1;GPX7;COX6C;COX6A1;NDUFB7;ATP5F1E;TUBA1C;NDUFC2;NDUFV2;NDUFA12;COX7A2;SLC25A5;COX7B;ATP5PF;NDUFB9;POLR2C;PSMB3;TUBB2A;BAX;UQCRB;CYC1;TFAM;PSMA7;PSMD12;VDAC2;ATP5F1C;SOD2;UQCR11;COX8A;TBPL1;KIF5B;PSMD7;PSMB7;SLC25A6;ATP5PB;ATP5F1A;NDUFA2;NDUFB11;NDUFA9;HDAC1;PSMD8;NDUFB2;PSMC3;NDUFS4;NDUFS3;SOD1;POLR2K;PSMC4;SIN3A;NDUFA1;SDHB;NRBF2;ATP5MC3;MAPK9;POLR2G;PSMC5;UQCR10;SEM1;PSMA4;UQCRHL;POLR2E;BECN1;ATP5MC1;ATP5MC2;COX6B1;NDUFB4;AP2S1;POLR2L;PSMC1;ATG101;TUBA1B;HDAC2;NDUFS5;PSMD6;COX7C;PSMA3;COX5B;RCOR1;CREB3L3;ULK2;NDUFB3;PLCB4;UQCRFS1;NDUFA7;POLR2H;NDUFS6;ATP5PD;NDUFB6;POLR2I;UQCRQ","scRNAseq_within15"
