"Pathway","NES","P_value","FDR","Direction","Genes_tested","Leading_edge_genes","Dataset"
"Chemokine signaling pathway",1.85396952617406,2.68540673125038e-06,3.83629533035768e-05,"Up",142,"Arrb2;Ccr7;Ccl6;Ccr4;Ccl22;Ccl9;Cxcl16;Ptk2;Ccl1;Cxcr5;Ccl17;Cx3cl1;Adcy4;Ccr1;Lyn;Cxcr2;Gng2;Cxcl9;Prkcz;Adcy1;Ikbkb;Itk;Rap1b;Nfkbia;Cxcr6;Ccr3;Gnb5;Ptk2b;Src;Cxcl10;Ccr6;Xcr1;Hras;Ccl3;Fgr;Hck;Cxcl2;Arrb1;Gnb1;Ccr2;Ccr9;Rac2;Nfkb1;Gnb2;Ccl25;Nfkbib;Pik3cb;Ccl4;Pik3r2;Jak2;Rap1a;Cdc42;Prex1;Vav1;Gngt2;Adcy7;Ncf1;Pard3;Grk5;Rela;Adcy3;Jak3;Mapk3","bulk_STAT5B"
"Huntington disease",1.84093727250083,3.0552910734293e-06,4.16630600922178e-05,"Up",149,"Tgm2;Ndufa1;Gpx1;Dnah7a;Ndufa13;Creb3;Bax;Dnah11;Cox6a1;Cox7a2;Ndufa6;Cox8a;Ndufa10;COX1;Cox6c;Clta;Ap2m1;CYTB;Bbc3;Polr2g;Cox5a;Ndufb7;Cox4i1;Ndufv3;Creb5;Ndufb11;Hip1;Ndufb9;Cox7b;Cox4i2;Pparg;Uqcrq;Uqcrh;Ndufb3;Cox6b1;Ndufa8;Uqcr10;Polr2f;Ap2s1;Ndufa3;Creb3l1;Ndufa5;Ndufb5;Sod1;Cox7a2l;Ndufa2;Slc25a4;Dctn2;Polr2c;Cycs;Ndufs6;Ndufs2;Uqcrfs1;Cyc1;Ndufa7;Ndufb10;Polr2e;Ndufs3;Polr2h;Ndufs4;Casp8;Vdac3;Ndufa11;Sdhb;Cltb;Hdac1;Ndufb8;Polr2l;Uqcr11;Ndufa12;Cox5b;Ndufs7;Uqcrb;Ndufs5;Ndufv2","bulk_STAT5B"
"Retrograde endocannabinoid signaling",1.93187441769246,3.59590926281506e-06,4.69031642975877e-05,"Up",100,"Cacna1d;Ndufa1;Dagla;Ndufa13;Gria2;Mgll;Ndufa6;Adcy4;Mapk13;ND6;ND2;ND1;Gng2;ND4;Adcy1;ND5;Ndufa10;Ndufb7;Ndufv3;Gnb5;Ndufb11;Abhd6;Ndufb9;Faah;Cacna1s;Ndufb3;Ndufa8;Gnao1;Daglb;Ndufa3;Gnb1;Ndufa5;Ndufb5;Prkcg;Ndufa2;Gnb2;Ndufs6;Ndufs2;Gabre;Ndufa7;Ndufb10;Cacna1a;Ndufs3;Slc17a7;Ndufs4;Gngt2;Ndufa11;Adcy7;Adcy3;Ndufb8;Mapk3;Ndufa12;Adcy9;Ndufs7;Ndufs5;Ndufv2;Gng5","bulk_STAT5B"
"Asthma",2.12780821507588,4.03485858656091e-06,4.931029881716e-05,"Up",18,"H2-Oa;Tnf;Prg2;H2-DMb2;Fcer1a;Ms4a2;Il4;H2-Eb1;H2-Aa;Cd40;H2-Ab1;H2-DMb1;Il5;Il13","bulk_STAT5B"
"Thermogenesis",1.77576585442133,4.10919156809667e-06,4.931029881716e-05,"Up",178,"Actb;Ndufa1;Prkag1;Ndufa13;Creb3;Cox6a1;Cox7a2;Mgll;Ndufa6;Adcy4;Cox8a;Mapk13;ND6;Dpf3;ND2;ND1;ND4;Adcy1;ND5;Ndufa10;COX1;Cox6c;CYTB;Cox5a;Ndufb7;Cox4i1;Ndufv3;Creb5;Ndufb11;Hras;Ndufb9;Cox7b;Cox4i2;Lipe;Pparg;Uqcrq;Coa4;Uqcrh;Ndufb3;Cox6b1;Ndufa8;Prkaa1;Uqcr10;Rps6ka1;Cpt2;Acsl5;Map2k3;Ndufa3;Smarca2;Creb3l1;Ndufa5;Ndufb5;Cox7a2l;Ndufa2;Coa3;Map3k5;Ndufs6;Ndufs2;Uqcrfs1;Cyc1;Cox17;Ndufa7;Ndufb10;Npr1;Cox10;Ndufs3;Cox14;Ndufs4;Cox20;Ndufa11;Adcy7;Prkab1;Sdhb;Acsl4;Adcy3;Ndufb8;Uqcr11;Ndufa12;Cox11;Cox5b;Adcy9;Ndufs7;Uqcrb;Ndufs5;Zfp516;Ndufv2","bulk_STAT5B"
"Lysosome",1.86573070294326,5.11072278414702e-06,5.89698782786195e-05,"Up",115,"Hexa;Ap3m2;Atp6ap1;Laptm5;Abcb9;Atp6v0a1;Litaf;Cd63;Fuca1;Npc2;Napsa;Smpd1;Ctss;Acp5;Cln3;Ctsz;Ctsd;Clta;Ctsh;Laptm4a;Naga;Glb1;Galns;Man2b1;Ap1s2;Ctsf;Gm2a;Gusb;Slc11a1;Gla;Manba;Asah1;Atp6v0d1;Ctns;Gga1;Ctsk;Dnase2a;Atp6v0d2;Atp6v1h;Aga;Atp6v0b;Lamp1;Ap4s1;Igf2r;Ap4b1;Ctsw;Ctsa;Gnptg","bulk_STAT5B"
"Synaptic vesicle cycle",2.06207755723278,5.47983650094846e-06,6.08870722327606e-05,"Up",46,"Cplx2;Stx1a;Atp6v0a1;Slc6a9;Atp6v0e;Slc6a13;Atp6v1b2;Clta;Ap2m1;Atp6v1f;Slc18a2;Stx3;Atp6v1e1;Ap2s1;Atp6v0d1;Atp6v1g1;Atp6v0d2;Atp6v1h;Atp6v1c1;Atp6v0b;Atp6v1g2;Unc13b;Napa;Cacna1a;Dnm2;Slc17a7;Cltb;Stx2;Nsf","bulk_STAT5B"
"NOD-like receptor signaling pathway",1.82847667974574,6.5450781851751e-06,7.01258376983046e-05,"Up",140,"Cyba;P2rx7;Nlrp6;Gabarap;Tnf;Casp4;Naip5;Mapk13;Pstpip1;Gabarapl2;Casp12;Il1b;Casp1;Trpv2;Ikbkb;Nfkbia;Naip2;Gsdmd;Naip6;Panx1;Il6;Nlrp12;Myd88;Ifi207;Card6;Irak4;Trpm2;Txn2;Traf5;Cxcl2;Birc3;Ikbke;Txnip;Cybb;Bcl2l1;Sharpin;Oas1g;Traf2;Bcl2;Card9;Sugt1;Oas3;Mefv;Nfkb1;Nfkbib;Ifnar2;Mcu;Atg5;Il18;Nek7;Casp8;Atg16l1;Vdac3;Rela;Antxr2;Mapk3;Mfn2;Nampt;Camp;Rbck1;Ripk1;Tyk2;Ticam1;Fadd;Vdac2;Stat2;Tbk1;Ifnar1;Chuk;Nod2;Tab2;Tlr4;Oas1a;Mapk11","bulk_STAT5B"
"Fanconi anemia pathway",-2.17154492742532,7.04870192589092e-06,7.29176061299061e-05,"Down",51,"Poln;Fancm;Brca2;Palb2;Eme1;Rev1;Top3a;Fancd2;Pms2;Rad51c;Usp1;Atr;Eme2;Fanci;Fancb;Blm;Rmi2;Wdr48;Polh;Faap100;Slx1b;Fan1;Brca1;Rev3l;Fanca","bulk_STAT5B"
"Inflammatory bowel disease (IBD)",2.02027957191597,8.282957405152e-06,8.282957405152e-05,"Up",53,"Ifngr2;H2-Oa;Tnf;Il12rb1;Il4ra;H2-DMb2;Il17f;Foxp3;Maf;Rora;Il23a;Rorc;Il1b;Ifngr1;Il4;Il23r;H2-Eb1;Il18r1;H2-Aa;Il6;Tlr2;Il2rg;Stat4;H2-Ab1;H2-DMb1;Il22;Il5;Il13","bulk_STAT5B"
"Salmonella infection",1.96263359227313,1.04982470721832e-05,0.000101595939408225,"Up",69,"Actb;Arpc3;Ifngr2;Csf2;Arpc5;Pfn1;Mapk13;Arpc4;Il1b;Casp1;Ifngr1;Flnc;Fos;Rab7b;Pfn2;Il6;Myd88;Dync1li1;Ccl3;Rilp;Rhog;Cxcl2;Arpc5l;Tjp1;Flna;Rab7;Nfkb1;Arpc1b;Ccl4;Il18;Cdc42","bulk_STAT5B"
"Arachidonic acid metabolism",2.0500962843522,1.41644748453302e-05,0.00013279195167497,"Up",35,"Ggt5;Ggt1;Gpx1;Cyp4f18;Alox5;Alox15;Gpx8;Pla2g2d;Gpx7;Pla2g4f;Gpx3;Ptges;Cbr3;Alox12e;Ptgs1;Hpgds;Tbxas1","bulk_STAT5B"
