"pathway","gene","shared_with_bulk_same_pathway","in_sc_mitophagy_leading_edge","in_sc_proteasome_leading_edge","in_curated_STAT5_target_sets","logFC","PValue","FDR","rank_stat"
"Ribosome","RPLP0",FALSE,FALSE,FALSE,FALSE,0.341275031514592,0.503507761024565,0.999578157159551,0.70332300708652
"Ribosome","MRPL51",FALSE,FALSE,FALSE,FALSE,0.30332456224225,0.513262156867258,0.999578157159551,0.686894958064825
"Ribosome","RPS27A",FALSE,TRUE,FALSE,FALSE,0.295653988203572,0.526098221377369,0.999578157159551,0.665416082067805
"Ribosome","RPS28",TRUE,FALSE,FALSE,FALSE,0.288960138472037,0.526742868123381,0.999578157159551,0.664349493178047
"Ribosome","RPL38",TRUE,FALSE,FALSE,FALSE,0.303516098331488,0.531670336772077,0.999578157159551,0.656223403199939
"Ribosome","RPS27L",TRUE,FALSE,FALSE,FALSE,0.231551491253421,0.537905815725819,0.999578157159551,0.646007112888846
"Ribosome","RPS20",TRUE,FALSE,FALSE,FALSE,0.290582533709463,0.540308290165395,0.999578157159551,0.642089151887186
"Ribosome","RPS15A",TRUE,FALSE,FALSE,FALSE,0.288823215454388,0.542824266544069,0.999578157159551,0.637998196486331
"Ribosome","MRPS23",FALSE,FALSE,FALSE,FALSE,0.248449420102601,0.546632976487152,0.999578157159551,0.631841127536535
"Ribosome","RPL19",TRUE,FALSE,FALSE,FALSE,0.272544657216588,0.549122868907956,0.999578157159551,0.627806717551635
"Ribosome","MRPS35",FALSE,FALSE,FALSE,FALSE,0.237431700411074,0.552087070584043,0.999578157159551,0.623037038035935
"Ribosome","RPS25",TRUE,FALSE,FALSE,FALSE,0.258445836047492,0.55263963002835,0.999578157159551,0.622146912830433
"Ribosome","MRPL21",TRUE,FALSE,FALSE,FALSE,0.225771576283145,0.559116790109857,0.999578157159551,0.611780755821236
"Ribosome","RPL27A",TRUE,FALSE,FALSE,FALSE,0.238730615912246,0.566660441773265,0.999578157159551,0.599791810500857
"Ribosome","RPS27",FALSE,FALSE,FALSE,FALSE,0.264038805510623,0.569072967014312,0.999578157159551,0.595978043967764
"Ribosome","RPS21",TRUE,FALSE,FALSE,FALSE,0.257357049543855,0.56958742116923,0.999578157159551,0.595166001706783
"Ribosome","RPS24",TRUE,FALSE,FALSE,FALSE,0.276272344792057,0.575444711854411,0.999578157159551,0.585950270231061
"Ribosome","RPL14",TRUE,FALSE,FALSE,FALSE,0.264668165381024,0.579870654441934,0.999578157159551,0.579022282676745
"Ribosome","RPL36",FALSE,FALSE,FALSE,FALSE,0.230421182123068,0.586660632512364,0.999578157159551,0.568452074348709
"Ribosome","RPS4X",FALSE,FALSE,FALSE,FALSE,0.258135197439295,0.589603035433911,0.999578157159551,0.563892972564663
"Ribosome","MRPL40",FALSE,FALSE,FALSE,FALSE,0.220407481593137,0.59283303496373,0.999578157159551,0.55892092404081
"Ribosome","RPS3A",FALSE,FALSE,FALSE,FALSE,0.2570448582856,0.603239207046053,0.999578157159551,0.542928017556826
