"analysis_population","compartment","gene_set_source","gene_set_id","pathway_name","pathway","linked_genes_n","linked_genes","ranked_genes_n","gene_set_size_total","tested","untested_reason","pval","padj","log2err","ES","NES","size","leadingEdge","direction"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903751","negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide","GO:1903751 negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide",4,"PARK7;PINK1;RACK1;TRAP1",4,4,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903862","positive regulation of oxidative phosphorylation","GO:1903862 positive regulation of oxidative phosphorylation",2,"NUPR1;VCP",1,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903943","regulation of hepatocyte apoptotic process","GO:1903943 regulation of hepatocyte apoptotic process",8,"ADAR;CFLAR;IGF1R;PPARA;PRKAA1;PRKAA2;RB1;STK4",7,8,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903944","negative regulation of hepatocyte apoptotic process","GO:1903944 negative regulation of hepatocyte apoptotic process",7,"ADAR;CFLAR;IGF1R;PPARA;PRKAA1;PRKAA2;RB1",6,7,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903945","positive regulation of hepatocyte apoptotic process","GO:1903945 positive regulation of hepatocyte apoptotic process",1,"STK4",1,1,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1903984","positive regulation of TRAIL-activated apoptotic signaling pathway","GO:1903984 positive regulation of TRAIL-activated apoptotic signaling pathway",1,"ATF3",1,1,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904023","regulation of glucose catabolic process to lactate via pyruvate","GO:1904023 regulation of glucose catabolic process to lactate via pyruvate",3,"ACTN3;TIGAR;TP53",2,3,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904024","negative regulation of glucose catabolic process to lactate via pyruvate","GO:1904024 negative regulation of glucose catabolic process to lactate via pyruvate",2,"TIGAR;TP53",2,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904025","positive regulation of glucose catabolic process to lactate via pyruvate","GO:1904025 positive regulation of glucose catabolic process to lactate via pyruvate",1,"ACTN3",0,1,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904037","positive regulation of epithelial cell apoptotic process","GO:1904037 positive regulation of epithelial cell apoptotic process",16,"BAX;CAPN10;CARM1;EIF2S1;GSN;HMOX1;IL6;JAK2;PIAS4;PLA2G1B;PLA2R1;SAV1;SFRP4;STK4;TIA1;WNT11",9,16,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904182","regulation of pyruvate dehydrogenase activity","GO:1904182 regulation of pyruvate dehydrogenase activity",1,"SIRT4",0,1,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904192","regulation of cholangiocyte apoptotic process","GO:1904192 regulation of cholangiocyte apoptotic process",1,"IGF1R",1,1,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904193","negative regulation of cholangiocyte apoptotic process","GO:1904193 negative regulation of cholangiocyte apoptotic process",1,"IGF1R",1,1,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904327","protein localization to cytosolic proteasome complex","GO:1904327 protein localization to cytosolic proteasome complex",1,"ATXN3",1,1,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904516","myofibroblast cell apoptotic process","GO:1904516 myofibroblast cell apoptotic process",2,"SOX2;ZEB2",1,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904520","regulation of myofibroblast cell apoptotic process","GO:1904520 regulation of myofibroblast cell apoptotic process",2,"SOX2;ZEB2",1,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904542","regulation of free ubiquitin chain polymerization","GO:1904542 regulation of free ubiquitin chain polymerization",2,"AMBRA1;PINK1",2,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904544","positive regulation of free ubiquitin chain polymerization","GO:1904544 positive regulation of free ubiquitin chain polymerization",2,"AMBRA1;PINK1",2,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904606","fat cell apoptotic process","GO:1904606 fat cell apoptotic process",2,"FOSL2;SPTLC1",2,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904633","regulation of podocyte apoptotic process","GO:1904633 regulation of podocyte apoptotic process",2,"PLA2G1B;PLA2R1",0,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904635","positive regulation of podocyte apoptotic process","GO:1904635 positive regulation of podocyte apoptotic process",2,"PLA2G1B;PLA2R1",0,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904649","regulation of fat cell apoptotic process","GO:1904649 regulation of fat cell apoptotic process",1,"SPTLC1",1,1,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904668","positive regulation of ubiquitin protein ligase activity","GO:1904668 positive regulation of ubiquitin protein ligase activity",11,"BTRC;CDC14B;CDC20;CDC20B;FZR1;PLK1;PTEN;RBCK1;SKP1;UBE2C;UBE2S",9,11,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904700","granulosa cell apoptotic process","GO:1904700 granulosa cell apoptotic process",2,"BOK;UMODL1",1,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904708","regulation of granulosa cell apoptotic process","GO:1904708 regulation of granulosa cell apoptotic process",2,"BOK;UMODL1",1,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904714","regulation of chaperone-mediated autophagy","GO:1904714 regulation of chaperone-mediated autophagy",7,"ATP13A2;CTSA;EEF1A1;EEF1A2;PLK3;SNCA;SNRNP70",6,7,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904715","negative regulation of chaperone-mediated autophagy","GO:1904715 negative regulation of chaperone-mediated autophagy",3,"CTSA;SNCA;SNRNP70",3,3,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904716","positive regulation of chaperone-mediated autophagy","GO:1904716 positive regulation of chaperone-mediated autophagy",1,"PLK3",1,1,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904746","negative regulation of apoptotic process involved in development","GO:1904746 negative regulation of apoptotic process involved in development",3,"FOXC1;FOXC2;PAX8",1,3,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904747","positive regulation of apoptotic process involved in development","GO:1904747 positive regulation of apoptotic process involved in development",6,"BAX;NOTCH1;PML;TNFRSF1A;TNFRSF1B;VDR",5,6,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904748","regulation of apoptotic process involved in development","GO:1904748 regulation of apoptotic process involved in development",10,"BAX;FOXC1;FOXC2;NOTCH1;PAX8;PML;TGFB2;TNFRSF1A;TNFRSF1B;VDR",6,10,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904764","chaperone-mediated autophagy translocation complex disassembly","GO:1904764 chaperone-mediated autophagy translocation complex disassembly",1,"HSPA8",1,1,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904947","folate import into mitochondrion","GO:1904947 folate import into mitochondrion",1,"SLC25A32",1,1,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1904983","glycine import into mitochondrion","GO:1904983 glycine import into mitochondrion",1,"SLC25A38",1,1,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1905089","regulation of type 2 mitophagy","GO:1905089 regulation of type 2 mitophagy",11,"ATP5IF1;CDC37;HK2;HTRA2;HUWE1;MUL1;PINK1;PRKN;TOMM7;VDAC1;VPS13C",9,11,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1905090","negative regulation of type 2 mitophagy","GO:1905090 negative regulation of type 2 mitophagy",2,"HTRA2;VPS13C",2,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1905091","positive regulation of type 2 mitophagy","GO:1905091 positive regulation of type 2 mitophagy",9,"ATP5IF1;CDC37;HK2;HUWE1;MUL1;PINK1;PRKN;TOMM7;VDAC1",7,9,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1905258","regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway","GO:1905258 regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway",2,"DNAJA1;PARK7",2,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1905259","negative regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway","GO:1905259 negative regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway",2,"DNAJA1;PARK7",2,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1905288","vascular associated smooth muscle cell apoptotic process","GO:1905288 vascular associated smooth muscle cell apoptotic process",10,"ATF4;DNMT1;E2F3;IGF1;MFN2;PDCD4;PPARG;RBM10;SLC7A5;SOD2",8,10,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1905397","activated CD8-positive, alpha-beta T cell apoptotic process","GO:1905397 activated CD8-positive, alpha-beta T cell apoptotic process",3,"ARG2;CD274;ST3GAL1",1,3,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1905402","regulation of activated CD8-positive, alpha-beta T cell apoptotic process","GO:1905402 regulation of activated CD8-positive, alpha-beta T cell apoptotic process",3,"ARG2;CD274;ST3GAL1",1,3,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1905403","negative regulation of activated CD8-positive, alpha-beta T cell apoptotic process","GO:1905403 negative regulation of activated CD8-positive, alpha-beta T cell apoptotic process",2,"ARG2;ST3GAL1",1,2,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1905404","positive regulation of activated CD8-positive, alpha-beta T cell apoptotic process","GO:1905404 positive regulation of activated CD8-positive, alpha-beta T cell apoptotic process",1,"CD274",0,1,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","GO_BP","GO:1905446","regulation of mitochondrial ATP synthesis coupled electron transport","GO:1905446 regulation of mitochondrial ATP synthesis coupled electron transport",6,"CCNB1;CDK1;CHCHD2;DNAJC15;GHITM;SNCA",6,6,FALSE,"fewer_than_10_ranked_genes",NA,NA,NA,NA,NA,NA,"","untested"
