"analysis_population","pathway_id","pathway_name","pathway_label","gene","compartment","logFC","logCPM","F","PValue","FDR","rank_stat"
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","MAP1LC3B2","potential_malignant_T_cells_CNV_high_top25",0.286812811086344,2.87320569364034,0.23682893859427,0.640655635176026,0.999578157159551,0.486650735737932
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","MAPK10","potential_malignant_T_cells_CNV_high_top25",-0.784423887565915,2.79544618743321,0.588750688051538,0.464947342068194,0.999578157159551,-0.76730091101962
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","MAPK8","potential_malignant_T_cells_CNV_high_top25",0.0154796261808011,5.44383593829704,0.00168478919502239,0.96835156196862,0.999578157159551,0.041046183684021
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","MAPK9","potential_malignant_T_cells_CNV_high_top25",0.76782740184455,4.54885937619682,2.95221372832109,0.127467220729729,0.999578157159551,1.71820072410679
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","MFN1","potential_malignant_T_cells_CNV_high_top25",-0.262262823770014,4.5090874112354,0.415097751544955,0.538987589989195,0.999578157159551,-0.644280801782076
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","MFN2","potential_malignant_T_cells_CNV_high_top25",0.384621539396419,3.67618116676814,0.671123087988857,0.438471290436435,0.999578157159551,0.819221025114015
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","MON1A","potential_malignant_T_cells_CNV_high_top25",0.121746268372462,2.95374489080943,0.0306451405808343,0.865637666066968,0.999578157159551,0.175057535058718
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","MON1B","potential_malignant_T_cells_CNV_high_top25",-0.0590173987043433,4.42793532566466,0.0220239230121949,0.886016140415605,0.999578157159551,-0.148404592288092
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","MTX1","potential_malignant_T_cells_CNV_high_top25",0.833765767233367,5.13498842724375,5.20909357434004,0.0547034103229935,0.999578157159551,2.28234387731999
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","MTX2","potential_malignant_T_cells_CNV_high_top25",0.375692904023366,4.28134962510238,0.508413852869485,0.497852087247404,0.999578157159551,0.713031452931416
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","MUL1","potential_malignant_T_cells_CNV_high_top25",0.802358407464511,4.5043790845421,1.62901858497207,0.24071568224107,0.999578157159551,1.27633012382067
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","NBR1","potential_malignant_T_cells_CNV_high_top25",-0.123521211186002,5.22838141306673,0.0736762324310374,0.793524672384528,0.999578157159551,-0.271433661197423
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","NLRX1","potential_malignant_T_cells_CNV_high_top25",-0.289909845157383,2.91504405652527,0.243352726193596,0.636125947569712,0.999578157159551,-0.493307942560827
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","NRAS","potential_malignant_T_cells_CNV_high_top25",0.509245006084397,5.77739990824866,0.999222891589289,0.349253090716552,0.999578157159551,0.999611370278114
