"analysis_population","compartment","sample_id","gene","pseudobulk_logCPM","raw_counts","n_cells","patient_pair","condition_simple","sample_label","condition_label","pathway_id","pathway_name","pathway_label","z_logCPM"
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M143","PSMD2",6.48156972774363,180,712,"P2","diagnosis","PP2_D_M143","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-0.0237375071355419
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M143","PSMD3",6.07847184177631,136,712,"P2","diagnosis","PP2_D_M143","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-0.0707524528403478
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M143","PSMD4",6.00252298854302,129,712,"P2","diagnosis","PP2_D_M143","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-0.653814905699192
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M143","PSMD6",6.43279792706611,174,712,"P2","diagnosis","PP2_D_M143","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-0.166124392388857
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M143","PSMD7",7.37157710149792,334,712,"P2","diagnosis","PP2_D_M143","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",0.831385215933377
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M143","PSMD8",7.21212689364525,299,712,"P2","diagnosis","PP2_D_M143","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",0.21750354329728
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M143","PSMD9",6.28492271924374,157,712,"P2","diagnosis","PP2_D_M143","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-0.98794897159331
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M143","PSME1",8.41512144237044,689,712,"P2","diagnosis","PP2_D_M143","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-0.161950633687556
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M143","PSME2",7.00530542921434,259,712,"P2","diagnosis","PP2_D_M143","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-0.486412299696978
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M143","PSME3",4.8805324641644,59,712,"P2","diagnosis","PP2_D_M143","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-1.18960852786432
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M143","PSME4",6.18047155527871,146,712,"P2","diagnosis","PP2_D_M143","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",1.27615620732144
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M143","PSMF1",6.64749279862845,202,712,"P2","diagnosis","PP2_D_M143","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-0.809124012244968
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M143","SEM1",6.12014102107739,140,712,"P2","diagnosis","PP2_D_M143","Diagnosis","hsa03050","Proteasome","KEGG Proteasome",-1.93506958690118
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","AMBRA1",4.18402837274863,23,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.398635097282956
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","AMFR",5.52425728437894,59,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.283777993503152
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","ARIH1",7.71955194073528,272,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.605764066033843
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","ATF4",7.71424790887535,271,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.591943388395445
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","ATG9A",3.91484173993324,19,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.827343183880489
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","ATG9B",0.214402021792149,1,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.977707744462419
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","BCL2L1",6.01314381354505,83,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.601368618187784
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","BCL2L13",4.81926407995101,36,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.157034284224619
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","BECN1",5.66286252260844,65,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.00236286915333
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","BNIP3",4.69552871152877,33,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.693498007012087
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","BNIP3L",6.94685213483586,159,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.743735506290014
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","CALCOCO2",6.62379295792985,127,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.625620825144664
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","CCZ1",2.08887113970829,5,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.755022070136367
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","CCZ1B",3.58363583145787,15,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.884638170440287
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","CITED2",7.18786023433966,188,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.507806672136181
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","CSNK2A1",5.4998042406544,58,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.348358817208938
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","CSNK2A2",6.08065063290332,87,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.576773072406343
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","CSNK2A3",-1.37056047892901,0,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.67320637738883
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","CSNK2B",8.18594557574292,376,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.05140669079825
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","E2F1",5.37090650747214,53,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.7360391001527
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","EIF2AK3",3.67383364042945,16,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.168868820696167
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","EIF2S1",5.03883045720869,42,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.050830167099817
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","FIS1",6.92864753945827,157,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.293998407460775
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","FKBP8",8.02818321300919,337,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.999961108646765
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","FOXO3",4.2441493651862,24,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.52627777712779
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","FUNDC1",3.98699152568908,20,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.321155061773382
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","GABARAP",8.47649686716233,460,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.804121166186806
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","GABARAPL1",4.77918664057568,35,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.687142773622082
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","GABARAPL2",7.18786023433966,188,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.617981357907764
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","HIF1A",6.06406774870772,86,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.671507040006424
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","HRAS",5.13723416126969,45,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.23946398953253
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","HUWE1",6.6683585103633,131,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.25105368650169
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","JUN",9.84800275726126,1191,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.287395078911664
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","KRAS",6.22189655833907,96,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.768444614506474
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MAP1LC3A",0.951367615958355,2,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.515186649414578
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MAP1LC3B",7.07652274728065,174,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.0243253558982015
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MAP1LC3B2",3.15300147712801,11,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.32272509287443
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MAPK10",0.951367615958355,2,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.151223908346653
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MAPK8",4.96928952395562,40,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.964028151601581
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MAPK9",4.96928952395562,40,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.696109584487957
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MFN1",4.51208257043283,29,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.215148386409497
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MFN2",3.67383364042945,16,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.37957969607766
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MITF",-1.37056047892901,0,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.0417054984015625
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MON1A",3.27329571084572,12,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.587258911623757
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MON1B",4.30186486304249,25,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.191051172199429
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MRAS",-1.37056047892901,0,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.0349864501573438
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MTX1",5.64066677649425,64,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.37292829290605
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MTX2",4.41079923459565,27,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.380871762528091
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MTX3",0.214402021792149,1,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.486704371893928
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","MUL1",3.83889288669994,18,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.336034054488916
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","NBR1",5.61812420784316,63,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.637601737914659
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","NLRX1",2.87736703451458,9,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.228478670277331
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","NRAS",5.4238553874211,55,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.263385125362971
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","OPA1",5.72747160403152,68,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.552579441963893
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","OPTN",4.30186486304249,25,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.1466160625785
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","PGAM5",4.65180733409945,32,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.5702249576248
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","PHB2",8.03670728531572,339,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.21089147968497
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","PINK1",3.91484173993324,19,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.0445602644594735
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","PRKN",-1.37056047892901,0,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.6853859647418
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","RAB5A",6.08065063290332,87,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.431915108206096
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","RAB5B",5.4238553874211,55,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.41323399247757
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","RAB5C",6.60098307502177,125,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.525402919366746
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","RAB7A",6.98258634656908,163,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.0546297791768759
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","RAB7B",-1.37056047892901,0,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.488028535558483
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","RABGEF1",3.38432702323446,13,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.16035899403987
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","RELA",5.96035639918561,80,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.0726131110725172
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","RHOT1",4.96928952395562,40,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.151417864443331
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","RHOT2",5.97816767530207,81,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.923968629292862
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","RPS27A",11.5057646071342,3759,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.717531077304816
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","RRAS",0.951367615958355,2,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.0910913086601052
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","RRAS2",5.2587961411506,49,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.706392168158793
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","SAMM50",5.52425728437894,59,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.778236567027488
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","SIAH1",3.98699152568908,20,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.43552632130336
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","SMURF1",3.83889288669994,18,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.548773518928566
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","SMURF2",5.16859833217902,46,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.279426260967328
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","SP1",5.03883045720869,42,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.06380396098985
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","SQSTM1",6.1608209815873,92,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.216615755287578
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","SRC",2.08887113970829,5,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.348139429357512
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","TAX1BP1",7.53332136680717,239,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.469939023622327
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","TBC1D15",4.12129261740067,22,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.24266882752744
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","TBC1D17",4.69552871152877,33,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.258415878464793
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","TBK1",2.87736703451458,9,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.389452882111294
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","TFE3",3.67383364042945,16,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.703408576058269
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","TFEB",1.79936452251331,4,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.508785799736204
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","TOMM20",7.64903024942887,259,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.0316170043952845
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","TOMM20L",-1.37056047892901,0,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.272608972094841
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","TOMM40",6.40422658067217,109,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.38202904494937
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","TOMM40L",3.02175694384975,10,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.470160443171166
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","TOMM7",8.00665005145954,332,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.144899223579168
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","TOMM70",5.59522380573308,62,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.786091110413454
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","TP53",4.85825821156687,37,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.03142552261603
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","TRAF2",3.83889288669994,18,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.771196857798693
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","UBA52",10.0061075829287,1329,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.383236919173584
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","UBB",9.45360273081515,906,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.585756225104709
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","UBC",10.7461083770381,2220,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",0.154925835089588
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","ULK1",5.92406026996262,78,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",1.17965723833498
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","USP15",7.23306586605718,194,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.05191151513573
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","USP30",3.48742051619856,14,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.0728550504397216
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","USP8",5.92406026996262,78,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-0.946836875600055
"potential malignant T cells (CNV-high top 25%)","potential_malignant_T_cells_CNV_high_top25","M148","VCP",7.12529454795816,180,269,"P2","relapse","PP2_R_M148","Relapse","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal",-1.29779704167361
