"analysis_population","gene","logFC","logCPM","F","PValue","FDR","rank_stat"
"potential malignant T cells (CNV-high top 25%)","ZNF260",-0.828392430329799,3.99819825397787,2.81790833467232,0.135150757503905,0.999578157159551,-1.67866266255979
"potential malignant T cells (CNV-high top 25%)","SLC5A3",0.715178055247889,5.27400547544598,2.81530185055959,0.135233370690565,0.999578157159551,1.67788612562343
"potential malignant T cells (CNV-high top 25%)","SELENOK",1.00221215715166,5.79336889627983,2.8104795401836,0.135498379316737,0.999578157159551,1.67644849016712
"potential malignant T cells (CNV-high top 25%)","VAT1",-0.542557502984386,7.59601506891868,2.80877122342639,0.135590276171951,0.999578157159551,-1.67593890802332
"potential malignant T cells (CNV-high top 25%)","ZNF385D",-1.67576464496506,3.20127852535161,2.80861430154733,0.142105629492438,0.999578157159551,-1.67589209125986
"potential malignant T cells (CNV-high top 25%)","KANSL1-AS1",-0.724195677230759,4.91247959292517,2.80274161010905,0.13603058826694,0.999578157159551,-1.67413906534345
"potential malignant T cells (CNV-high top 25%)","SLC19A1",0.837276444618875,3.40574085703358,2.80197309118555,0.136062129672616,0.999578157159551,1.67390952299864
"potential malignant T cells (CNV-high top 25%)","SH3RF1",-1.5538540541276,3.22218941128308,2.79954130286431,0.13530683037846,0.999578157159551,-1.67318298546941
"potential malignant T cells (CNV-high top 25%)","NKG7",1.17417592938198,7.52573793864255,2.79909322222255,0.136169964148247,0.999578157159551,1.67304907944225
"potential malignant T cells (CNV-high top 25%)","YBX1",0.695012470352877,9.7152770488273,2.79879926056106,0.136185773139117,0.999578157159551,1.67296122506203
"potential malignant T cells (CNV-high top 25%)","NEDD4L",1.10880310606577,3.28235847209051,2.79774413054537,0.136224538496872,0.999578157159551,1.67264584731657
"potential malignant T cells (CNV-high top 25%)","GTPBP3",-0.751467873324719,3.96490687199355,2.79749020184555,0.136327675805293,0.999578157159551,-1.67256993929867
"potential malignant T cells (CNV-high top 25%)","RRS1",0.997572607396751,4.19283896177598,2.79646854206329,0.136425961818809,0.999578157159551,1.67226449524688
