"pathway","gene","in_sc_leading_edge","in_bulk_leading_edge","shared_leading_edge","STAT5_axis_gene","curated_STAT5_target"
"Alzheimer disease","CALM3",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","CAPN1",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","CASP12",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","CASP7",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","CASP8",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","CDK5",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","COX1",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","COX4I2",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","COX5B",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","COX6A2",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","COX6B1",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","COX7A2",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","CSNK2A1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","CSNK2A2",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","CYCS",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","CYTB",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","EIF2AK2",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","EIF2AK3",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","EIF2S1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","FADD",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","FAS",FALSE,TRUE,FALSE,FALSE,TRUE
"Alzheimer disease","FRAT2",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","GAPDH",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","GNAQ",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","GRIN2D",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","HSD17B10",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","IKBKG",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","ITPR3",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","KIF5B",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","LPL",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","MAP2K1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","MAPK1",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","MAPK9",TRUE,FALSE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFA1",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFA10",FALSE,TRUE,FALSE,FALSE,FALSE
"Alzheimer disease","NDUFA11",FALSE,TRUE,FALSE,FALSE,FALSE
