"gene","P1_delta","P2_delta","P3_delta","n_pairs_up","n_pairs_down","mean_pair_delta","median_pair_delta","logFC","PValue","FDR","rank_stat","pathway_membership","leading_edge_pathways","any_leading_edge","paired_direction_consistency","gene_level_FDR_lt_0.05"
"SLC33A1",-0.797933472238942,-1.05850284754561,-0.323136787690244,0,3,-0.726524369158267,-0.797933472238942,-0.789685779541762,0.0801204579886216,0.999578157159551,-2.02889099893352,"Glycosphingolipid biosynthesis - ganglio series","Glycosphingolipid biosynthesis - ganglio series",TRUE,"down in 3/3",FALSE
"ABO",-0.927327445009772,-3.52400372403446,-0.595575605333649,0,3,-1.68230225812596,-0.927327445009772,-2.13422346038106,0.0382503348876248,0.999578157159551,-2.45168731049503,"Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - lacto and neolacto series","Glycosphingolipid biosynthesis - globo and isoglobo series; Glycosphingolipid biosynthesis - lacto and neolacto series",TRUE,"down in 3/3",FALSE
"ST3GAL6",-2.43854656954868,-3.10961565171164,-0.595575605333649,0,3,-2.04791260886466,-2.43854656954868,-3.17031295063445,0.00236146878316582,0.999578157159551,-4.4525128033859,"Glycosphingolipid biosynthesis - lacto and neolacto series","Glycosphingolipid biosynthesis - lacto and neolacto series",TRUE,"down in 3/3",FALSE
"FUT7",-0.153751749379807,2.89784010695588,1.4648977570308,2,1,1.40299537153562,1.4648977570308,1.89200194667573,0.0562589946542252,0.999578157159551,2.22118893499864,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"up in 2/3",FALSE
"NEU4",5.88545181707716,-1.90558540322387,-0.595575605333649,1,2,1.12809693617321,-0.595575605333649,0.792633052781159,0.675678619429178,0.999578157159551,0.434694009526786,"Sphingolipid metabolism","",FALSE,"down in 2/3",FALSE
"B3GNT2",2.21187159818342,-0.677008866938128,0.847617211695808,2,1,0.794159980980366,0.847617211695808,0.738204064800389,0.214750055078345,0.999578157159551,1.35769508587783,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"up in 2/3",FALSE
"ST3GAL5",0.353141447398724,0.65415907627415,0.808185412425713,3,0,0.605161978699529,0.65415907627415,0.604805218551039,0.217499580695201,0.999578157159551,1.34896370518146,"Glycosphingolipid biosynthesis - ganglio series","",FALSE,"up in 3/3",FALSE
"SMPD3",-0.487090309210818,4.7057224306474,-0.540598557984435,1,2,1.22601118781738,-0.487090309210818,0.559969592429615,0.62884140435548,0.999578157159551,0.506334758120024,"Sphingolipid metabolism","",FALSE,"down in 2/3",FALSE
"ST3GAL4",-0.0652298810528369,0.556298892774585,0.889604129480057,2,1,0.460224380400602,0.556298892774585,0.472873428670984,0.363695479672683,0.999578157159551,0.968388516212362,"Glycosphingolipid biosynthesis - lacto and neolacto series","",FALSE,"up in 2/3",FALSE
"SMPD1",-0.581359139164589,1.687659560365,0.0202256223495327,2,1,0.375508681183315,0.0202256223495327,0.375405274984924,0.562742537640818,0.999578157159551,0.605896519882792,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"PIK3R2",-1.08383325025275,1.23835012503086,0.6030758228594,2,1,0.252530899212506,0.6030758228594,0.301510046998726,0.641646022945351,0.999578157159551,0.485265034523499,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"GNA12",1.70461133770046,-0.378192048032542,-0.0357929038574571,1,2,0.430208795270152,-0.0357929038574571,0.282207334010879,0.60962307031977,0.999578157159551,0.533250727853475,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"KRAS",2.40004456216343,-1.02358738703517,-0.210580193882048,1,2,0.388625660415406,-0.210580193882048,0.275098172282531,0.679266542607064,0.999578157159551,0.430359699584835,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"MAPK1",0.868848636517036,0.224120293555802,-0.142297700279081,2,1,0.316890409931252,0.224120293555802,0.256606667782943,0.500173158525411,0.999578157159551,0.709015231101431,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"ST6GALNAC6",0.176596596603015,-0.92110168424723,1.44171855308005,2,1,0.23240448847861,0.176596596603015,0.252099716925715,0.698535880156333,0.999578157159551,0.402802416448785,"Glycosphingolipid biosynthesis - ganglio series","",FALSE,"up in 2/3",FALSE
"SPTLC2",0.636551800009589,-0.191002277174892,0.440483336746659,2,1,0.295344286527119,0.440483336746659,0.25079620996395,0.53049306982705,0.999578157159551,0.658176326591045,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"HEXB",-0.758988347217161,1.72834184873904,0.10925170318725,2,1,0.359535068236377,0.10925170318725,0.241576899511242,0.711924320956953,0.999578157159551,0.383930055799989,"Glycosphingolipid biosynthesis - ganglio series; Glycosphingolipid biosynthesis - globo and isoglobo series; Sphingolipid metabolism","",FALSE,"up in 2/3",FALSE
"ST3GAL1",1.69203455586333,-0.625092555843803,-0.144554626442221,1,2,0.307462457859103,-0.144554626442221,0.239986703699661,0.637571960621516,0.999578157159551,0.491251123374934,"Glycosphingolipid biosynthesis - ganglio series; Glycosphingolipid biosynthesis - globo and isoglobo series","",FALSE,"down in 2/3",FALSE
"BCL2",0.487773869007762,0.725401508575769,-0.388966509901016,2,1,0.274736289227505,0.487773869007762,0.216227141664408,0.578893732130658,0.999578157159551,0.580551125465504,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"AKT2",1.59515644140512,-0.589959427470588,-0.136099050645539,1,2,0.289699321096329,-0.136099050645539,0.208226272680966,0.672099730479036,0.999578157159551,0.440695514444483,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"B3GALT4",2.23622891005416,0.0241754251547066,-0.835974065508897,2,1,0.47481008989999,0.0241754251547066,0.199848047676697,0.772609463365319,0.999578157159551,0.299862539577372,"Glycosphingolipid biosynthesis - ganglio series","",FALSE,"up in 2/3",FALSE
"SGPL1",-0.366889178515287,0.677242866257145,0.382851704501847,2,1,0.231068464081235,0.382851704501847,0.195763222846909,0.748602323839298,0.999578157159551,0.33282805145188,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"PIK3R1",1.69452977384368,-0.604974249233194,-0.292022658001089,1,2,0.265844288869798,-0.292022658001089,0.194088947623554,0.701627573389514,0.999578157159551,0.398432290563043,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"PLPP1",0.103484476392023,0.209087378215592,0.326439816258535,3,0,0.213003890288717,0.209087378215592,0.178290364224984,0.73245640594651,0.999578157159551,0.354695328353798,"Sphingolipid metabolism","",FALSE,"up in 3/3",FALSE
