"candidate_id","candidate_label","selection_scope","top_fraction","extra_qc","paper_qc_preserved","definition_changes","n_cells_total","min_cells_per_sample","genes_ranked_n","tested_KEGG_sets_n","direction","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","gene_set_size_total"
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04657 IL-17 signaling pathway",0.0258959900146288,0.10427313596002,0.352487857583619,0.395999267874914,1.48597903614787,58,"IL4;FOS;FOSB;RELA;IL1B;MAPK9;S100A8;TRAF4;S100A9;MAP3K7;IFNG;HSP90B1;TRAF3","hsa04657","IL-17 signaling pathway",94
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05032 Morphine addiction",0.0279527112432275,0.109947330890028,0.352487857583619,0.458750062269724,1.4931871146854,32,"GNG4;PRKCA;GNG5;PDE4B;GNAS;GRK6;SLC32A1;ADCY7;GNB1;GNG8;GNG10;PDE4D;GRK2;GNG2","hsa05032","Morphine addiction",91
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04062 Chemokine signaling pathway",0.0306677729553185,0.119301006881129,0.352487857583619,0.334386998948689,1.40570596133554,114,"XCL1;GNG4;CXCR3;PXN;XCL2;RELA;RAP1A;STAT3;CCR9;CCR7;GNG5;RAP1B;NCF1;GRK6;JAK3;ITK;CCL5;PIK3R3;ADCY7;GNB1;GNG8;GRB2;RASGRP2;GNG10;RAC1;CCL4;MAP2K1;TIAM1;STAT2;NFKBIB;NFKB1;GRK2;GNG2;STAT1;CCL3;CDC42;NRAS;ROCK1;KRAS;PLCB4","hsa04062","Chemokine signaling pathway",193
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05210 Colorectal cancer",0.0327613665578345,0.125623993025391,0.321775918075361,0.36305769467437,1.42788010052755,75,"GADD45B;MYC;FOS;RALA;TGFB1;MAPK9;BAX;PIK3R3;BBC3;GRB2;AXIN1;RAC1;PMAIP1;MAP2K1;RPS6KB1;DDB2;GADD45A;TCF7L2;NRAS;KRAS;RALB;AKT1;BCL2","hsa05210","Colorectal cancer",87
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05203 Viral carcinogenesis",0.0330029134219247,0.125623993025391,0.321775918075361,0.308656310512705,1.33135561255582,143,"STAT5A;PXN;RELA;STAT3;YWHAB;RANBP1;PKM;HLA-C;BAX;HLA-B;DDX3X;YWHAZ;YWHAQ;ACTN4;HLA-E;HLA-A;GTF2E1;ATP6V0D1;JAK3;NFKB2;PIK3R3;HLA-F;TBPL1;ACTN1;REL;MDM2;GRB2;GTF2H3;RASA2;ATF4;TRAF3;HDAC2;RAC1;PMAIP1;IRF7;HDAC1;JAK1;NFKB1;CDKN2A;CDC42;PSMC1;RBL1;EIF2AK2;NRAS;VAC14;MAD1L1;HDAC9;CCND3;KRAS","hsa05203","Viral carcinogenesis",205
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa01230 Biosynthesis of amino acids",0.0423011844331641,0.157627571466738,0.287857117255149,0.402250834726435,1.43215734829651,46,"TKTL1;PGAM1;ALDOA;PGK1;PKM;ALDOC;PYCR3;ENO1;PFKP;GAPDH;PRPS1;ALDH18A1;ACY1;RPIA;MAT2B","hsa01230","Biosynthesis of amino acids",74
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04148 Efferocytosis",0.0419354838709677,0.157627571466738,0.282013350011725,0.326972951288981,1.34714940146881,97,"ABCA1;ODC1;SLC16A1;TGFB1;CALR;BSG;NFATC3;VPS18;ADAM9;ATP8A1;NFATC2;NFATC1;DUSP2;PTPN6;NR1H2;IL10;SIRPG;ATP2A2;RAB7A;AGER;CPT1A;RAC1;CASP7;S1PR1;MAP2K1;DUSP5;CASP1;TMEM30A;GPR132;RAB5C;RAB5A;CAMK2D;SCARF1","hsa04148","Efferocytosis",157
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05146 Amoebiasis",0.0428816466552316,0.158126072041166,0.287857117255149,0.39858760311408,1.41708214932189,47,"CTSG;TGFB1;RELA;SERPINB9;PRKCA;IL1B;ACTN4;GNAS;IL10;PIK3R3;ACTN1;ITGB2;IFNG;PRDX1;RAB7A;ITGAM;NFKB1;GNA15;RAB5C;RAB5A","hsa05146","Amoebiasis",103
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa05410 Hypertrophic cardiomyopathy",0.0435540069686411,0.158949674916484,0.287857117255149,0.445611558360336,1.48373328142363,35,"ITGB7;TGFB1;ACTB;TPM3;ACTG1;EMD;SNTA1;ITGB1;LMNA;PRKAG2;PRKAB1;TPM4;DMD;ATP2A2","hsa05410","Hypertrophic cardiomyopathy",99
"A02","Within-sample CNV top 25%; paper QC","within_sample",0.25,"none",TRUE,1,3210,179,11620,355,"relapse_up","hsa04713 Circadian entrainment",0.0448446030269242,0.161989688485012,0.321775918075361,0.423259269855307,1.45554020784688,40,"FOS;PER2;GNG4;CALM1;PRKCA;GNG5;GNAS;RPS6KA5;ADCY7;GNB1;GNG8;GNG10;CALM3;GNG2;CAMK2D;RASD1;PLCB4;GNB2;GNAI2","hsa04713","Circadian entrainment",97
