"case_id","axis","case_label","primary_analysis","n_patients","n_cells_total","min_cells_per_sample","genes_ranked_n","direction","global_FDR_tier","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","pathway_id","pathway_name","gene_set_size_total","target_family2_BH","target_family2_Holm","target_family4_BH","target_family4_Holm"
"cnv_top20","CNV cutoff","CNV top 20%",FALSE,3,2566,93,10496,"relapse_up","FDR 0.05b","hsa03050 Proteasome",0.0146989286029839,0.0776087944096793,0.380730400722792,0.426188699934071,1.54965277846358,44,"PSMB1;ADRM1;PSMB9;PSMC5;PSMD8;PSMB3;PSME2;PSMB7;POMP;PSMA7;PSMD12;PSMD2;SEM1;PSMB2;PSMB5;PSMA4;PSMD7;PSME4;PSMC3;PSMD14;PSMD11","hsa03050","Proteasome",46,0.0289792297400519,0.0293978572059679,0.0579584594801039,0.0587957144119357
"cnv_top20","CNV cutoff","CNV top 20%",FALSE,3,2566,93,10496,"relapse_up","FDR 0.10b","hsa04137 Mitophagy - animal",0.0289792297400519,0.127146370484478,0.352487857583619,0.338977230259907,1.42154248941267,86,"TOMM40;RELA;MAPK9;OPTN;TFE3;E2F1;MTX1;MUL1;SP1;TOMM70;AMFR;RRAS2;UBA52;CSNK2A2;SMURF2;RAB7A;NRAS;UBC;ATF4;TOMM20;FUNDC1;BCL2L13;RPS27A;SAMM50;MAP1LC3B2;FKBP8;BNIP3;MTX2;USP30;MFN2;CALCOCO2;PHB2;BECN1;EIF2S1;RAB5A","hsa04137","Mitophagy - animal",105,0.0289792297400519,0.0293978572059679,0.0579584594801039,0.0869376892201558
"cnv_top20","CNV cutoff","CNV top 20%",FALSE,3,2566,93,10496,"relapse_down","FDR b	% 0.20","hsa04136 Autophagy - other",0.296,0.485477178423237,0.109684061970549,-0.332424230531087,-1.12325644199214,29,"PIK3C3;GABARAPL1;GABARAP;ATG10;PIK3R4;MTOR;ATG4C","hsa04136","Autophagy - other",32,,,0.394666666666667,0.592
"cnv_top20","CNV cutoff","CNV top 20%",FALSE,3,2566,93,10496,"relapse_down","FDR b	% 0.20","hsa04140 Autophagy - animal",0.801282051282051,0.842775273518019,0.0589694466690997,-0.188300142600217,-0.861430412659652,145,"SMCR8;STX7;DDIT4;UVRAG;PIK3C3;GABARAPL1;ITPR1;AKT3;RAB33B;GABARAP;TSC1;EPG5;EIF2AK4;ATG10;BAD;ATG14;PIK3R4;MTMR4;RAB39B;TRAF6;VPS11;MTOR;ATG16L2;RRAGB;PLEKHM1;ATG4C;RUBCN;AMBRA1;PTEN;PRKCQ;IGF1R","hsa04140","Autophagy - animal",169,,,0.801282051282051,0.801282051282051
"cnv_top30","CNV cutoff","CNV top 30%",FALSE,3,3849,194,11407,"relapse_up","FDR < 0.05","hsa05012 Parkinson disease",1.3367680759952e-05,0.0023660794945115,0.593325476396405,0.377610181661135,1.77641045140872,204,"MAOB;SLC18A2;ADRM1;COX5A;ATP5F1B;NDUFA6;SLC39A4;VDAC1;BAX;NDUFC2;KEAP1;CALM1;PSMB1;NDUFAB1;UQCRH;MAPK9;NDUFA9;TUBA1C;CYC1;NDUFV2;ATF4;SLC39A6;PSMD8;SLC25A5;UBE2J2;PSMC5;HTRA2;NDUFA12;UBE2L6;PSMD11;COX7A2L;GNAS;UQCRHL;TUBA4A;PSMA7;SLC39A8;COX6A1;COX6C;ATP5MC1;NDUFB2;VDAC2;SLC39A3;COX4I1;NDUFB9;KIF5B;COX8A;PSMC3;EIF2S1;TUBA1B;SLC25A6;NDUFB6;PSMD12;UBA52;CALM3;UBE2L3;ATP5PF;SLC39A13;UBC;TUBB4A;ATP5F1E;PSMC4;UQCR11;MFN2;PSMA8;PARK7;SDHB;GNAI2;TUBB2A;RPS27A;PSMD7;NDUFB7;PSMD2;PSMB7;ATP5MC3;DUSP1;ITPR3;PSMD14;SOD1;PSMB3;ATP5PB;ATP5F1A;PSMC1;UBE2J1;XBP1;UBA7;SLC39A7","hsa05012","Parkinson disease",268,,,,
"cnv_top30","CNV cutoff","CNV top 30%",FALSE,3,3849,194,11407,"relapse_up","FDR < 0.05","hsa03010 Ribosome",1.01720486966188e-05,0.0023660794945115,0.593325476396405,0.393667046566425,1.8073648541971,169,"MRPS18A;MRPL15;MRPS2;RPL39L;MRPL37;MRPS6;MRPL1;MRPS7;AURKAIP1;MRPL36;RPL26L1;MRPL20;RPL30;RPS16;MRPL11;RPL8;RPLP1;RPL23A;MRPL54;MRPL47;MRPL33;MRPL40;RPLP2;MRPL58;RPS6;MRPS30;UBA52;RPS13;RPL18A;RPS27L;RPL21;RPL37;RPS7;RPL4;RPL38;RPL7;RPS17;RPS27A;RPLP0;RPS25;MRPL3;RPS20;RPL27A;RPS28;MRPL14;RPS15A;RPS21;RPL19;MRPL21;RPS27;RPS24;RPL23;MRPL27;RPS19;RPL14;MRPS33;RPS4X;RPL13A;MRPL13;RPL36;RPL3;MRPL49;RPS2;MRPS35;MRPS17;RPS29;RPS3A;RPL37A;MRPS23;RPS3;RPL5;MRPL12;MRPL24;RPL35;RPL11;RPL22;RPL35A;RPS12;RPL39;MRPS27;RPL15;RPL27;RPL18;RPL24;RPL10A;RPS14;RPL36A;RPS23;RPL9;MRPS10;RPL13;RPL32;MRPL39;RPL12;RPS9;RPS4Y1;RPL17;MRPS5;MRPL51;RPS18;MRPS12;RSL24D1;MRPL41;MRPL18;RPL31;MRPL17;FAU;RPL34;MRPL42;RPL6;RPS5;RPL7A;RPS11","hsa03010","Ribosome",213,,,,
"cnv_top30","CNV cutoff","CNV top 30%",FALSE,3,3849,194,11407,"relapse_up","FDR < 0.05","hsa00190 Oxidative phosphorylation",0.000274315384742481,0.00882796783625803,0.49849310876659,0.408512845267798,1.73218209194125,103,"COX5A;ATP5F1B;NDUFA6;NDUFC2;PPA2;NDUFAB1;UQCRH;NDUFA9;CYC1;NDUFV2;NDUFA12;COX7A2L;PPA1;UQCRHL;COX6A1;COX6C;ATP6V0D1;ATP6V0E1;ATP5MC1;NDUFB2;ATP6V1A;ATP6V0A4;COX4I1;NDUFB9;COX8A;ATP6V0A2;ATP6V0C;ATP5MG;NDUFB6;ATP5PF;COX17;ATP5F1E;UQCR11;LHPP;SDHB;NDUFB7;ATP5MC3;ATP5ME;ATP5PB;ATP5F1A;ATP6V0B;ATP6V1G1;ATP5F1C;NDUFS3;NDUFA1;COX7A2","hsa00190","Oxidative phosphorylation",138,,,,
"cnv_top30","CNV cutoff","CNV top 30%",FALSE,3,3849,194,11407,"relapse_up","FDR 0.05b","hsa04630 JAK-STAT signaling pathway",0.0056423802297314,0.0624188312914036,0.407017918923954,0.382523234824667,1.55166120929936,82,"OSM;MYC;STAT5A;IL27RA;IL15RA;PIM1;IL4R;SOCS6;STAT3;IFNGR2;IL21R;IL4;PTPN6;JAK3;IL2RA;STAM2;PIK3R3;AKT1;GRB2;PIK3CB;SOCS3;IL2RB;STAT1;BCL2;PDGFA;JAK1;SOS2;PTPN11;STAT4;AKT2;IL15","hsa04630","JAK-STAT signaling pathway",168,,,,
"cnv_top30","CNV cutoff","CNV top 30%",FALSE,3,3849,194,11407,"relapse_up","FDR 0.10b","hsa03050 Proteasome",0.0217920317086435,0.121202021783504,0.352487857583619,0.424650851440867,1.51590339249948,44,"ADRM1;PSMB1;PSMB9;PSMD8;POMP;PSME2;PSMC5;PSMD11;PSMA7;PSME4;PSMC3;PSMD12;PSMC4;PSMA8;PSMD7;PSMD2;PSMB7;PSMD14;PSMB3;PSMC1;PSMA4;SEM1;PSMD1;PSME1","hsa03050","Proteasome",46,0.0435840634172869,0.0435840634172869,0.0871681268345738,0.0871681268345738
"cnv_top30","CNV cutoff","CNV top 30%",FALSE,3,3849,194,11407,"relapse_up","FDR b	% 0.20","hsa04137 Mitophagy - animal",0.0865979381443299,0.309653233364574,0.219250346703755,0.309496371473866,1.27961168109912,91,"RELA;MTX1;OPTN;TOMM40;TFE3;MTX3;TOMM70;E2F1;MAPK9;ATF4;MUL1;BECN1;NRAS;RRAS2;AMFR;SMURF2;MAP1LC3B2;EIF2S1;TOMM20;UBA52;CSNK2A2;UBC;MFN2;BNIP3;BCL2L13;MON1A;RAB7A;RPS27A","hsa04137","Mitophagy - animal",105,0.0865979381443299,0.0865979381443299,0.17319587628866,0.25979381443299
