"case_id","axis","case_label","sample_id","patient_pair","condition_simple","n_cells","median_nFeature_RNA","median_percent_mt","median_CNV_burden"
"qc_combined","QC","Combined strict QC","M143","P2","diagnosis",571,1351,2.18579234972678,0.0275777873789372
"qc_combined","QC","Combined strict QC","M148","P2","relapse",192,1932.5,2.58256610598834,0.0268895424165012
"qc_combined","QC","Combined strict QC","M187","P3","diagnosis",353,1809,2.55228642325417,0.031402418656437
"qc_combined","QC","Combined strict QC","M187r","P3","relapse",462,2050,3.20377758028489,0.0267347673644868
"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","M104","P1","diagnosis",140,1784.5,3.40161909686282,0.0262632894117588
"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","M127","P1","relapse",971,1594,3.1718711581018,0.0296646268014466
"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","M143","P2","diagnosis",712,1296.5,2.49009501943329,0.0307857066545614
"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","M148","P2","relapse",269,1951,3.15334773218143,0.0273458277706847
"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","M187","P3","diagnosis",456,1761,2.93588689791221,0.0322118005895733
"filter_cpm05_2","Gene filter","CPM >= 0.5 in >= 2 samples","M187r","P3","relapse",659,2026,3.55749726946481,0.0267510239213303
"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","M104","P1","diagnosis",140,1784.5,3.40161909686282,0.0262632894117588
"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","M127","P1","relapse",971,1594,3.1718711581018,0.0296646268014466
"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","M143","P2","diagnosis",712,1296.5,2.49009501943329,0.0307857066545614
"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","M148","P2","relapse",269,1951,3.15334773218143,0.0273458277706847
"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","M187","P3","diagnosis",456,1761,2.93588689791221,0.0322118005895733
"filter_cpm1_2","Gene filter","CPM >= 1 in >= 2 samples","M187r","P3","relapse",659,2026,3.55749726946481,0.0267510239213303
"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","M104","P1","diagnosis",140,1784.5,3.40161909686282,0.0262632894117588
"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","M127","P1","relapse",971,1594,3.1718711581018,0.0296646268014466
"filter_cpm1_3","Gene filter","CPM >= 1 in >= 3 samples","M143","P2","diagnosis",712,1296.5,2.49009501943329,0.0307857066545614
