"specification_id","specification_axis","selection_scope","top_fraction","mt_max","min_features","upper_feature_cap","gene_filter","robust_dispersion","normalization","rank_metric","n_cells_total","min_cells_per_sample","sample_cell_imbalance_ratio","diagnosis_cells_n","relapse_cells_n","median_percent_mt","median_nFeature_RNA","cycling_prop","immature_prop","quiescent_prop","er_stress_prop","nperm","primary_equivalent","proteasome_NES","proteasome_nominal_P","proteasome_two_target_BH","mitophagy_NES","mitophagy_nominal_P","mitophagy_two_target_BH","worst_target_nominal_P"
"MR048","Model + ranking","global",0.25,5,0,"none","filterByExpr",TRUE,"TMMwsp","signed_sqrt_F",3207,140,6.93571428571429,1308,1899,3.12895069532238,1634,0.409105082631743,0.299033364515123,0.280324290614281,0.0115372622388525,5000,FALSE,1.53079708158241,0.0192860073861305,0.027661357921207,1.416850068154,0.027661357921207,0.027661357921207,0.027661357921207
"MR029","Model + ranking","global",0.25,5,0,"none","cpm1_n3",FALSE,"TMMwsp","signed_neglog10_P",3207,140,6.93571428571429,1308,1899,3.12895069532238,1634,0.409105082631743,0.299033364515123,0.280324290614281,0.0115372622388525,5000,FALSE,1.62426887498228,0.00738724727838258,0.0147744945567652,1.40017000975201,0.0279051987767584,0.0279051987767584,0.0279051987767584
"PQ050","Population + QC","global",0.2,3.5,0,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1593,53,9.88679245283019,716,877,2.54872563718141,1563,0.379158819836786,0.308851224105461,0.298179535467671,0.0138104205900816,5000,FALSE,1.74849355264204,0.00279552715654952,0.00559105431309904,1.42259659514561,0.0281299524564184,0.0281299524564184,0.0281299524564184
"PQ393","Population + QC","within_sample",0.3,5,0,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",3851,214,4.19626168224299,1765,2086,3.21706738909583,1780,0.506102311088029,0.252142300701117,0.232407166969618,0.00934822124123604,5000,FALSE,1.75390198695022,0.00527611677805135,0.0105522335561027,1.43046631315036,0.0283050283050283,0.0283050283050283,0.0283050283050283
"MR042","Model + ranking","global",0.25,5,0,"none","filterByExpr",FALSE,"TMMwsp","signed_sqrt_F",3207,140,6.93571428571429,1308,1899,3.12895069532238,1634,0.409105082631743,0.299033364515123,0.280324290614281,0.0115372622388525,5000,FALSE,1.51622374928038,0.0257774140752864,0.0283451438099208,1.40994520047435,0.0283451438099208,0.0283451438099208,0.0283451438099208
"PQ396","Population + QC","within_sample",0.3,5,500,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",3821,212,4.22169811320755,1745,2076,3.21868677579548,1786,0.508767338393091,0.253860246008898,0.228212509814185,0.00915990578382622,5000,FALSE,1.77256849820207,0.00107372942018611,0.00214745884037223,1.40208448343556,0.0285223367697594,0.0285223367697594,0.0285223367697594
"PQ438","Population + QC","within_sample",0.4,5,1000,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",4855,243,4.78189300411523,2139,2716,3.16085732842607,1915,0.537178166838311,0.258084449021627,0.196498455200824,0.0082389289392379,5000,FALSE,1.73261672165962,0.00336587007741501,0.00673174015483002,1.41327350097617,0.0286898310487727,0.0286898310487727,0.0286898310487727
"PQ059","Population + QC","global",0.2,4,500,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",1954,67,9.77611940298507,815,1139,2.81368757849268,1579,0.398669396110542,0.312691914022518,0.275844421699079,0.0127942681678608,5000,FALSE,1.54179145747024,0.0287565816119887,0.0287565816119887,1.5347179966198,0.0103958416633347,0.0207916833266693,0.0287565816119887
"PQ306","Population + QC","within_sample",0.2,4.5,0,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",2272,118,4.67796610169492,1029,1243,3.12037820400568,1674,0.498239436619718,0.258362676056338,0.231954225352113,0.011443661971831,5000,FALSE,1.82850666261657,0.00138217000691085,0.0027643400138217,1.43637665890114,0.0288940551311857,0.0288940551311857,0.0288940551311857
"MR002","Model + ranking","global",0.25,5,0,"none","cpm05_n2",FALSE,"TMM","signed_neglog10_P",3207,140,6.93571428571429,1308,1899,3.12895069532238,1634,0.409105082631743,0.299033364515123,0.280324290614281,0.0115372622388525,5000,FALSE,1.66109151478637,0.00669554942890902,0.013391098857818,1.40556600397916,0.0290742157612854,0.0290742157612854,0.0290742157612854
"PQ116","Population + QC","global",0.25,5,500,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",3179,139,6.96402877697842,1289,1890,3.13439244310863,1639,0.411764705882353,0.301352626612142,0.275558351682919,0.0113243158225857,5000,FALSE,1.53013506783889,0.0215741110667199,0.029110291102911,1.41075133243673,0.029110291102911,0.029110291102911,0.029110291102911
"PQ476","Population + QC","within_sample",0.5,5,500,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",6384,354,4.21751412429379,2919,3465,3.15008734682066,1964,0.529448621553885,0.236685463659148,0.226190476190476,0.00767543859649123,5000,FALSE,1.74734642247309,0.00238095238095238,0.00476190476190476,1.40412028653893,0.0296223958333333,0.0296223958333333,0.0296223958333333
"PQ115","Population + QC","global",0.25,5,500,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",3180,139,6.96402877697842,1289,1891,3.13429578865388,1639.5,0.411949685534591,0.30125786163522,0.275471698113208,0.0113207547169811,5000,FALSE,1.50049098535382,0.0288735258235055,0.0296989422294548,1.39353855980427,0.0296989422294548,0.0296989422294548,0.0296989422294548
"PQ102","Population + QC","global",0.25,4,1000,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",2316,85,8.98823529411765,916,1400,2.78987186489388,1674,0.426597582037997,0.315630397236615,0.245250431778929,0.0125215889464594,5000,FALSE,1.50411907806453,0.0298329355608592,0.0298329355608592,1.54915236829203,0.00938967136150235,0.0187793427230047,0.0298329355608592
"PQ308","Population + QC","within_sample",0.2,4.5,500,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",2248,116,4.73275862068965,1013,1235,3.12806791391969,1685.5,0.502669039145907,0.261120996441281,0.22508896797153,0.0111209964412811,5000,FALSE,1.82321635350785,0.00175070028011204,0.00350140056022409,1.4160815786858,0.029840848806366,0.029840848806366,0.029840848806366
"MR021","Model + ranking","global",0.25,5,0,"none","cpm1_n2",TRUE,"TMM","signed_sqrt_F",3207,140,6.93571428571429,1308,1899,3.12895069532238,1634,0.409105082631743,0.299033364515123,0.280324290614281,0.0115372622388525,5000,FALSE,1.70234873688812,0.00607287449392713,0.0121457489878543,1.40565794912336,0.0299716484406642,0.0299716484406642,0.0299716484406642
"PQ091","Population + QC","global",0.25,3.5,500,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",1976,73,8.49315068493151,889,1087,2.55432699395548,1621,0.390182186234818,0.295546558704453,0.301113360323887,0.0131578947368421,5000,FALSE,1.53802027001624,0.0184813177983126,0.0300632911392405,1.40697695274102,0.0300632911392405,0.0300632911392405,0.0300632911392405
"PQ075","Population + QC","global",0.2,5,500,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",2540,93,8.68817204301075,1050,1490,3.15138782785842,1576,0.397244094488189,0.311417322834646,0.279133858267717,0.0122047244094488,5000,FALSE,1.51921556781495,0.0206579954093344,0.0301296720061022,1.40995559885922,0.0301296720061022,0.0301296720061022,0.0301296720061022
"MR027","Model + ranking","global",0.25,5,0,"none","cpm1_n3",FALSE,"TMM","signed_sqrt_F",3207,140,6.93571428571429,1308,1899,3.12895069532238,1634,0.409105082631743,0.299033364515123,0.280324290614281,0.0115372622388525,5000,FALSE,1.67222710202252,0.00432559968541093,0.00865119937082186,1.39009500252076,0.0310385992837246,0.0310385992837246,0.0310385992837246
"PQ035","Population + QC","global",0.15,5,500,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",1900,64,10,820,1080,3.17991631799163,1501.5,0.4,0.297894736842105,0.287894736842105,0.0142105263157895,5000,FALSE,1.50648012849346,0.0256124721603563,0.0310918293564714,1.42877829451906,0.0310918293564714,0.0310918293564714,0.0310918293564714
"PQ459","Population + QC","within_sample",0.5,4,500,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",5045,269,4.42379182156134,2293,2752,2.83697758095765,1952,0.510802775024777,0.245787908820614,0.234886025768087,0.00852329038652131,5000,FALSE,1.6295109107627,0.00835073068893528,0.0167014613778706,1.40211592089521,0.0311169341631182,0.0311169341631182,0.0311169341631182
"MR033","Model + ranking","global",0.25,5,0,"none","cpm1_n3",TRUE,"TMM","signed_sqrt_F",3207,140,6.93571428571429,1308,1899,3.12895069532238,1634,0.409105082631743,0.299033364515123,0.280324290614281,0.0115372622388525,5000,FALSE,1.66853161069277,0.00637196336121067,0.0127439267224213,1.39859319077267,0.0311268715524035,0.0311268715524035,0.0311268715524035
"PQ052","Population + QC","global",0.2,3.5,500,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1574,53,9.84905660377358,703,871,2.561038372724,1570.5,0.382465057179161,0.312579415501906,0.291613722998729,0.0133418043202033,5000,FALSE,1.74372880245641,0.00240192153722978,0.00480384307445957,1.4040656796652,0.0318725099601594,0.0318725099601594,0.0318725099601594
"PQ092","Population + QC","global",0.25,3.5,500,"sample_q99","filterByExpr",TRUE,"TMM","signed_sqrt_F",1975,73,8.49315068493151,889,1086,2.55263157894737,1621,0.389873417721519,0.295696202531646,0.30126582278481,0.0131645569620253,5000,FALSE,1.56295326368464,0.0215798045602606,0.0321543408360129,1.40468791406905,0.0321543408360129,0.0321543408360129,0.0321543408360129
"PQ473","Population + QC","within_sample",0.5,5,0,"none","filterByExpr",TRUE,"TMM","signed_sqrt_F",6417,357,4.19047619047619,2942,3475,3.14354803253462,1960,0.527816736792894,0.23562412342216,0.228767336761727,0.00779180302321957,5000,FALSE,1.73777990260192,0.00447196422428621,0.00894392844857241,1.41821297131379,0.0325281803542673,0.0325281803542673,0.0325281803542673
