"case_id","axis","case_label","sample_id","patient_pair","condition_simple","n_cells"
"model_nonrobust","Model","Non-robust dispersion","M143","P2","diagnosis",712
"model_nonrobust","Model","Non-robust dispersion","M148","P2","relapse",269
"model_nonrobust","Model","Non-robust dispersion","M187","P3","diagnosis",456
"model_nonrobust","Model","Non-robust dispersion","M187r","P3","relapse",659
"model_tmmwsp","Model","TMMwsp normalization","M104","P1","diagnosis",140
"model_tmmwsp","Model","TMMwsp normalization","M127","P1","relapse",971
"model_tmmwsp","Model","TMMwsp normalization","M143","P2","diagnosis",712
"model_tmmwsp","Model","TMMwsp normalization","M148","P2","relapse",269
"model_tmmwsp","Model","TMMwsp normalization","M187","P3","diagnosis",456
"model_tmmwsp","Model","TMMwsp normalization","M187r","P3","relapse",659
"rank_logfc","GSEA ranking","Rank by signed log2FC","M104","P1","diagnosis",140
"rank_logfc","GSEA ranking","Rank by signed log2FC","M127","P1","relapse",971
"rank_logfc","GSEA ranking","Rank by signed log2FC","M143","P2","diagnosis",712
"rank_logfc","GSEA ranking","Rank by signed log2FC","M148","P2","relapse",269
"rank_logfc","GSEA ranking","Rank by signed log2FC","M187","P3","diagnosis",456
"rank_logfc","GSEA ranking","Rank by signed log2FC","M187r","P3","relapse",659
"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","M104","P1","diagnosis",140
"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","M127","P1","relapse",971
"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","M143","P2","diagnosis",712
"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","M148","P2","relapse",269
"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","M187","P3","diagnosis",456
"rank_signed_p","GSEA ranking","Rank by signed -log10(P)","M187r","P3","relapse",659
"leaveout_p1","Patient influence","Leave out patient 1","M143","P2","diagnosis",712
"leaveout_p1","Patient influence","Leave out patient 1","M148","P2","relapse",269
"leaveout_p1","Patient influence","Leave out patient 1","M187","P3","diagnosis",456
"leaveout_p1","Patient influence","Leave out patient 1","M187r","P3","relapse",659
"leaveout_p2","Patient influence","Leave out patient 2","M104","P1","diagnosis",140
"leaveout_p2","Patient influence","Leave out patient 2","M127","P1","relapse",971
"leaveout_p2","Patient influence","Leave out patient 2","M187","P3","diagnosis",456
"leaveout_p2","Patient influence","Leave out patient 2","M187r","P3","relapse",659
"leaveout_p3","Patient influence","Leave out patient 3","M104","P1","diagnosis",140
"leaveout_p3","Patient influence","Leave out patient 3","M127","P1","relapse",971
"leaveout_p3","Patient influence","Leave out patient 3","M143","P2","diagnosis",712
"leaveout_p3","Patient influence","Leave out patient 3","M148","P2","relapse",269
