"selection_scope","top_fraction","mt_max","min_features","upper_feature_cap","specification_axis","gene_filter","robust_dispersion","normalization","rank_metric","specification_id","n_cells_total","min_cells_per_sample","max_cells_per_sample","sample_cell_imbalance_ratio","diagnosis_cells_n","relapse_cells_n","median_percent_mt","median_nFeature_RNA","cycling_prop","immature_prop","quiescent_prop","er_stress_prop","valid","invalid_reason","primary_equivalent"
"global",0.2,3,500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ043",1137,40,360,9,561,576,2.2911051212938,1553,0.36235708003518,0.303430079155673,0.321020228671944,0.0131926121372032,TRUE,"",FALSE
"global",0.2,3,500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ044",1136,40,360,9,561,575,2.29094046535063,1552.5,0.361795774647887,0.303697183098592,0.321302816901408,0.0132042253521127,TRUE,"",FALSE
"global",0.2,3,1000,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ045",1058,29,348,12,507,551,2.30018372705912,1584.5,0.374291115311909,0.322306238185255,0.289224952741021,0.0141776937618147,TRUE,"",FALSE
"global",0.2,3,1000,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ046",1057,29,348,12,507,550,2.29911222399272,1584,0.373699148533586,0.322611163670766,0.289498580889309,0.0141911069063387,TRUE,"",FALSE
"global",0.2,3,1500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ047",635,18,203,11.2777777777778,270,365,2.33032333236237,1799,0.395275590551181,0.42992125984252,0.165354330708661,0.0094488188976378,FALSE,"fewer than 20 cells in at least one sample",FALSE
"global",0.2,3,1500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ048",634,18,203,11.2777777777778,270,364,2.33003621815251,1799,0.394321766561514,0.430599369085173,0.165615141955836,0.00946372239747634,FALSE,"fewer than 20 cells in at least one sample",FALSE
"global",0.2,3.5,0,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ049",1594,53,524,9.88679245283019,716,878,2.54987302267234,1563.5,0.379548306148055,0.308657465495609,0.297992471769134,0.013801756587202,TRUE,"",FALSE
"global",0.2,3.5,0,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ050",1593,53,524,9.88679245283019,716,877,2.54872563718141,1563,0.379158819836786,0.308851224105461,0.298179535467671,0.0138104205900816,TRUE,"",FALSE
"global",0.2,3.5,500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ051",1575,53,522,9.84905660377358,703,872,2.56191289496157,1572,0.382857142857143,0.312380952380952,0.291428571428571,0.0133333333333333,TRUE,"",FALSE
"global",0.2,3.5,500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ052",1574,53,522,9.84905660377358,703,871,2.561038372724,1570.5,0.382465057179161,0.312579415501906,0.291613722998729,0.0133418043202033,TRUE,"",FALSE
